epoch,roi,rho,p_value
1,V3,-0.008456739593257058,2.27396962718322e-09
1,FFC,0.1345253909472502,0.0
1,LO3,0.07834737175043686,0.0
1,PIT,0.09646895356512465,0.0
1,V2,0.0064782459262095575,4.681940803691917e-06
1,VMV1,0.003007955284884293,0.033513141875765894
1,LO2,0.1394968806812671,0.0
1,V4,-0.007601993844202902,7.752450640248137e-08
1,V8,-0.005815900806788862,3.9492192113934984e-05
1,VVC,-0.02768880725647167,2.634996529530635e-85
1,V1,0.0076497952074029655,6.423869989903608e-08
1,LO1,0.036468320098878154,1.3894690099167178e-146
1,VMV2,0.008773347947700719,5.621435769992732e-10
1,VMV3,-0.04394298002358409,5.79782173964592e-212
2,V3,-0.017331848972240025,1.6752413763838139e-34
2,FFC,0.08808800651691444,0.0
2,LO3,0.052538783445377685,3.314764367594553e-302
2,PIT,0.05398601268584405,0.0
2,V2,-0.0095760777054437,1.3051954217758624e-11
2,VMV1,0.015610020474754786,2.646566294858699e-28
2,LO2,0.07246513943091554,0.0
2,V4,-0.01798483528509419,5.0827549616467335e-37
2,V8,-0.018211918220282494,6.439908514959902e-38
2,VVC,-0.019399050473299505,8.65336378956735e-43
2,V1,-0.006959389578054066,8.715751251529405e-07
2,LO1,0.01128316636840553,1.5281681383665764e-15
2,VMV2,0.03517445940861074,1.681210595783421e-136
2,VMV3,-0.030850584931964648,1.9108105966538615e-105
3,V3,-0.013140739023014436,1.5775262398017166e-20
3,FFC,0.07798491974200797,0.0
3,LO3,0.05344197036507448,0.0
3,PIT,0.042695253337014454,3.3335898186483016e-200
3,V2,-0.00947074264707698,2.1773055695674323e-11
3,VMV1,0.023034086607437575,1.3348437827247242e-59
3,LO2,0.05536028838095471,0.0
3,V4,-0.008503570236220588,1.8550207762660174e-09
3,V8,-0.009362397590442844,3.664813521647272e-11
3,VVC,0.00966979039748274,8.240791822116075e-12
3,V1,-0.00977091452133109,4.993111657331288e-12
3,LO1,0.015348133850952638,2.039403645346189e-27
3,VMV2,0.05252640103893942,4.5925455582244097e-302
3,VMV3,-0.006529687241932843,3.932569866195114e-06
4,V3,-0.00953517712953247,1.593129165941399e-11
4,FFC,0.07158857472305254,0.0
4,LO3,0.05515963472641649,0.0
4,PIT,0.035725328696350755,9.491046597440022e-141
4,V2,-0.00870505376839113,7.630694488919731e-10
4,VMV1,0.026520613949800088,2.0568365988329407e-78
4,LO2,0.046600261124733096,3.8700259366788176e-238
4,V4,-0.0018249771330648007,0.1971179671584681
4,V8,-0.00412480240337662,0.003554354370963946
4,VVC,0.026399499108422462,1.025316233476814e-77
4,V1,-0.010396635136237769,2.0114228577189295e-13
4,LO1,0.0193016426431617,2.230417061425009e-42
4,VMV2,0.06076891971948332,0.0
4,VMV3,0.00860163365351482,1.2068663894727849e-09
5,V3,-0.007674958513657168,5.8160168226117947e-08
5,FFC,0.07211510474146486,0.0
5,LO3,0.05945411666096822,0.0
5,PIT,0.03812771175733276,4.7717637329309824e-160
5,V2,-0.009547544436546568,1.5000657226403325e-11
5,VMV1,0.026055721940962433,9.414483407113645e-76
5,LO2,0.05206479622816943,8.258326247016488e-297
5,V4,0.0027677691873223536,0.050450028811579006
5,V8,-0.0008041452682345613,0.5698103265264801
5,VVC,0.03160195683048019,1.5001337029145882e-110
5,V1,-0.012141090159131271,9.401235247561037e-18
5,LO1,0.025320521395438094,1.2183348229276777e-71
5,VMV2,0.05982199776268189,0.0
5,VMV3,0.014459739966451373,1.6138202460948501e-24
6,V3,-0.004603548466634591,0.0011396005971321497
6,FFC,0.0786261795686082,0.0
6,LO3,0.06481605101095808,0.0
6,PIT,0.046426630020536326,2.2135551352971174e-236
6,V2,-0.008198827896951423,6.847187155466046e-09
6,VMV1,0.02329559614508789,6.393493858776976e-61
6,LO2,0.06494648410393544,0.0
6,V4,0.0075834065375100825,8.337871106524314e-08
6,V8,0.0039117339384034154,0.0056986713570426175
6,VVC,0.03439256225137155,1.3878823713937887e-130
6,V1,-0.011098380160097579,4.3628865534097945e-15
6,LO1,0.03285673068781569,2.3846474657542173e-119
6,VMV2,0.05447455521409975,0.0
6,VMV3,0.016975955656383667,3.6116305158220784e-33
7,V3,-0.004602465784194839,0.0011426737195082638
7,FFC,0.08324839907776894,0.0
7,LO3,0.06778460246795331,0.0
7,PIT,0.05138578127553966,3.648097061525605e-289
7,V2,-0.008270723035032146,5.0521642913904905e-09
7,VMV1,0.021331327233045486,2.271782330185003e-51
7,LO2,0.07352738220305156,0.0
7,V4,0.007566596800661888,8.903999111884688e-08
