roi,epoch,experiment,rho,p_value
V1,15,random_target_e10_l10,0.012414398952756646,1.7207483008798886e-18
PIT,15,random_target_e10_l10,0.07435188260702473,0.0
V2,15,random_target_e10_l10,0.015494939821052836,6.519238012554926e-28
LO2,15,random_target_e10_l10,0.10793542774423587,0.0
LO1,15,random_target_e10_l10,0.038736774200158135,3.8592489467734333e-165
V3,15,random_target_e10_l10,0.0006538734355888981,0.6439909687485473
FFC,15,random_target_e10_l10,0.09299807546197346,0.0
LO3,15,random_target_e10_l10,0.05817425586712021,0.0
V1,16,random_target_e10_l10,0.01339160023951561,2.9368412542075095e-21
PIT,16,random_target_e10_l10,0.07113892107180093,0.0
V2,16,random_target_e10_l10,0.01706374225353187,1.703264772284651e-33
LO2,16,random_target_e10_l10,0.1043409390943443,0.0
LO1,16,random_target_e10_l10,0.03837290335537146,4.3492801417117007e-162
V3,16,random_target_e10_l10,0.001619576626083412,0.2523588329709828
FFC,16,random_target_e10_l10,0.08856640104657608,0.0
LO3,16,random_target_e10_l10,0.05543625826736657,0.0
V1,17,random_target_e10_l10,0.014553900255548525,8.104143002012534e-25
PIT,17,random_target_e10_l10,0.06939288293928245,0.0
V2,17,random_target_e10_l10,0.01883385047741517,1.9705327426611215e-40
LO2,17,random_target_e10_l10,0.10204256077308156,0.0
LO1,17,random_target_e10_l10,0.03836538324708424,5.025593280402775e-162
V3,17,random_target_e10_l10,0.002850508831131873,0.04394604100968294
FFC,17,random_target_e10_l10,0.08588928132486014,0.0
LO3,17,random_target_e10_l10,0.05344663705169144,0.0
V1,18,random_target_e10_l10,0.0146338566837347,4.499739534097827e-25
PIT,18,random_target_e10_l10,0.06826107753238841,0.0
V2,18,random_target_e10_l10,0.01945653687764949,4.937962241820947e-43
LO2,18,random_target_e10_l10,0.10044779298900255,0.0
LO1,18,random_target_e10_l10,0.038186763480341286,1.543476541436612e-160
V3,18,random_target_e10_l10,0.003221703836376325,0.02278924080879399
FFC,18,random_target_e10_l10,0.08399686381452481,0.0
LO3,18,random_target_e10_l10,0.05215278344406079,8.295668287027431e-298
V1,19,random_target_e10_l10,0.01535471104456209,1.938258985508747e-27
PIT,19,random_target_e10_l10,0.0674712384902217,0.0
V2,19,random_target_e10_l10,0.02053361539766663,9.923416082448224e-48
LO2,19,random_target_e10_l10,0.09914372146771583,0.0
LO1,19,random_target_e10_l10,0.0381887403948288,1.4861986312379308e-160
V3,19,random_target_e10_l10,0.004054307671536374,0.0041648373960478866
FFC,19,random_target_e10_l10,0.08274838253545722,0.0
LO3,19,random_target_e10_l10,0.05119507498080556,4.9107591976535744e-287
V1,20,random_target_e10_l10,0.009195805199971104,8.070246820407459e-11
PIT,20,random_target_e10_l10,0.06418582549636133,0.0
V2,20,random_target_e10_l10,0.011970926450360986,2.6561370364738144e-17
LO2,20,random_target_e10_l10,0.09543396070991843,0.0
LO1,20,random_target_e10_l10,0.03867706843887004,1.2281524371879412e-164
V3,20,random_target_e10_l10,0.0004765029611467878,0.7362909382082671
FFC,20,random_target_e10_l10,0.08385747948477061,0.0
LO3,20,random_target_e10_l10,0.05653642240799769,0.0
V1,21,random_target_e10_l10,-0.011080122209323723,4.834970100507613e-15
PIT,21,random_target_e10_l10,0.04305169401538164,1.5780637915121652e-203
V2,21,random_target_e10_l10,-0.012122426199727834,1.0542941358896626e-17
LO2,21,random_target_e10_l10,0.0666425654045974,0.0
LO1,21,random_target_e10_l10,0.028269510445676226,7.664318032035825e-89
V3,21,random_target_e10_l10,-0.012702466123198817,2.7611541314953406e-19
FFC,21,random_target_e10_l10,0.06185372281411847,0.0
LO3,21,random_target_e10_l10,0.05219771608254226,2.561692385928978e-298
V1,22,random_target_e10_l10,-0.018134691661658906,1.3039350331098432e-37
PIT,22,random_target_e10_l10,0.03124422733228521,4.187538480462561e-108
V2,22,random_target_e10_l10,-0.02101894161745229,6.285018303990509e-50
LO2,22,random_target_e10_l10,0.05242577572569152,6.479270946809035e-301
LO1,22,random_target_e10_l10,0.02247890322326902,7.551896404773067e-57
V3,22,random_target_e10_l10,-0.01707258844248835,1.5786896680325658e-33
FFC,22,random_target_e10_l10,0.0538511791455929,0.0
LO3,22,random_target_e10_l10,0.05008464993795911,8.517997176546883e-275
V1,23,random_target_e10_l10,-0.004053464429597645,0.004172683333985044
PIT,23,random_target_e10_l10,0.04469762651886687,3.063050128835471e-219
V2,23,random_target_e10_l10,-0.007016114147722249,7.096305336932236e-07
LO2,23,random_target_e10_l10,0.07298491798089604,0.0
LO1,23,random_target_e10_l10,0.03307350560387493,6.648347832929615e-121
V3,23,random_target_e10_l10,-0.0067883508904304805,1.6047263521576101e-06
FFC,23,random_target_e10_l10,0.07138976329475885,0.0
