roi,epoch,training_run,rho,p_value
FFC,1,1,0.143682529892936,0.0
FFC,2,1,0.11866522626234803,0.0
FFC,3,1,0.09965030942071063,0.0
FFC,4,1,0.08152314906495373,0.0
FFC,5,1,0.07251009788296767,0.0
FFC,6,1,0.07321010758990511,0.0
FFC,7,1,0.07718271503349919,0.0
FFC,8,1,0.0815018302090164,0.0
FFC,9,1,0.08703080574125907,0.0
FFC,10,1,0.09519276657751308,0.0
FFC,11,1,0.09950388445200696,0.0
FFC,12,1,0.10321462148977462,0.0
FFC,13,1,0.1132506745403028,0.0
FFC,14,1,0.11972411650126918,0.0
FFC,15,1,0.12297921049660407,0.0
FFC,16,1,0.12491499659345086,0.0
FFC,17,1,0.1282735590384937,0.0
FFC,18,1,0.12774462580568252,0.0
FFC,19,1,0.1326569445917459,0.0
FFC,20,1,0.13099935998946483,0.0
FFC,21,1,0.13475958650850328,0.0
FFC,22,1,0.1346238079837339,0.0
FFC,23,1,0.13633754650846808,0.0
FFC,24,1,0.13732674789569815,0.0
FFC,25,1,0.1387361766859896,0.0
FFC,26,1,0.1396088776331338,0.0
FFC,27,1,0.14215954034799527,0.0
FFC,28,1,0.14286347812548525,0.0
FFC,29,1,0.1393482987873121,0.0
FFC,30,1,0.14141212215398377,0.0
FFC,31,1,0.14180788093212815,0.0
FFC,32,1,0.14709647547523633,0.0
FFC,33,1,0.14438410492503803,0.0
FFC,34,1,0.1454869803171629,0.0
FFC,35,1,0.14937809964454998,0.0
FFC,36,1,0.14167781599355822,0.0
FFC,37,1,0.14395706610913028,0.0
FFC,38,1,0.14809364092173347,0.0
FFC,39,1,0.14529338162299874,0.0
FFC,40,1,0.1439198977505853,0.0
FFC,41,1,0.14609806280363652,0.0
FFC,42,1,0.14542953172252443,0.0
FFC,43,1,0.14751362017673456,0.0
FFC,44,1,0.14375398528180716,0.0
FFC,45,1,0.143810166123409,0.0
FFC,46,1,0.14355017044866222,0.0
FFC,47,1,0.1441890916186877,0.0
FFC,48,1,0.14348822531126337,0.0
FFC,49,1,0.14033902445760313,0.0
FFC,50,1,0.14622237846869335,0.0
FFC,51,1,0.14333742573395222,0.0
FFC,52,1,0.14601749982638612,0.0
FFC,53,1,0.1424669220075903,0.0
FFC,54,1,0.1449220641433199,0.0
FFC,55,1,0.14105245859275103,0.0
FFC,56,1,0.1415048773316033,0.0
FFC,57,1,0.14216546790172846,0.0
FFC,58,1,0.1450105625541025,0.0
FFC,59,1,0.14451432566075842,0.0
FFC,60,1,0.14372677387622027,0.0
FFC,61,1,0.14342482243831542,0.0
FFC,62,1,0.1449913949441182,0.0
FFC,63,1,0.1423799012070395,0.0
FFC,64,1,0.14097510786407205,0.0
FFC,65,1,0.14160941596448345,0.0
FFC,66,1,0.14412227342883868,0.0
FFC,67,1,0.14542733720844273,0.0
FFC,68,1,0.142851554245247,0.0
FFC,69,1,0.14252460418755597,0.0
FFC,70,1,0.14151727963933855,0.0
FFC,71,1,0.14433565116468636,0.0
FFC,72,1,0.1406809611909892,0.0
FFC,73,1,0.14155731049668083,0.0
FFC,74,1,0.14029942736315804,0.0
FFC,75,1,0.14365743116971713,0.0
FFC,76,1,0.14369203481647735,0.0
FFC,77,1,0.1430481416280103,0.0
FFC,78,1,0.14243358555106875,0.0
FFC,79,1,0.14293008772405077,0.0
FFC,80,1,0.1431371950434393,0.0
FFC,81,1,0.14080082993566917,0.0
FFC,82,1,0.1403657064753982,0.0
FFC,83,1,0.14586350542836862,0.0
FFC,84,1,0.1405851824066831,0.0
FFC,85,1,0.14339695360542173,0.0
FFC,86,1,0.14168997652174078,0.0
FFC,87,1,0.1444124329856004,0.0
FFC,88,1,0.14218017709833772,0.0
FFC,89,1,0.143403453641899,0.0
FFC,90,1,0.14329236151679792,0.0
FFC,91,1,0.14181870626412,0.0
FFC,92,1,0.14658947540142667,0.0
FFC,93,1,0.14534500799206976,0.0
FFC,94,1,0.14219879325519588,0.0
FFC,95,1,0.1416745700601836,0.0
FFC,96,1,0.1435645948383237,0.0
FFC,97,1,0.14370750848088906,0.0
FFC,98,1,0.1446898079461329,0.0
FFC,2,2,0.11463875129078288,0.0
FFC,3,2,0.09025224815584064,0.0
FFC,4,2,0.07301998393493567,0.0
FFC,5,2,0.06998182253469795,0.0
FFC,6,2,0.07840846007573951,0.0
FFC,7,2,0.08389997951551152,0.0
FFC,8,2,0.08977991250781321,0.0
FFC,9,2,0.09942126272208993,0.0
FFC,10,2,0.11097846878264565,0.0
FFC,11,2,0.11576599520076887,0.0
FFC,12,2,0.1172486570867893,0.0
FFC,13,2,0.12722904069404384,0.0
FFC,14,2,0.13200369768237585,0.0
FFC,15,2,0.1336237100027932,0.0
FFC,16,2,0.1356631392166954,0.0
FFC,17,2,0.13692699321670126,0.0
FFC,18,2,0.13381832612189476,0.0
FFC,19,2,0.1390125675808203,0.0
FFC,20,2,0.1373462857634522,0.0
FFC,21,2,0.13933147286639747,0.0
FFC,22,2,0.1415930092457454,0.0
FFC,23,2,0.14350063002283917,0.0
FFC,24,2,0.14034749776312322,0.0
FFC,25,2,0.142739645654368,0.0
FFC,26,2,0.1447264525231989,0.0
FFC,27,2,0.1459086496878848,0.0
FFC,28,2,0.1458801469450144,0.0
FFC,29,2,0.14437495636910921,0.0
FFC,30,2,0.14681276699444346,0.0
FFC,31,2,0.1478317141174771,0.0
FFC,32,2,0.1525750654236021,0.0
FFC,33,2,0.1490249526130263,0.0
FFC,34,2,0.1506491315905039,0.0
FFC,35,2,0.15401071344921757,0.0
FFC,36,2,0.1454395638054896,0.0
FFC,37,2,0.14964287156262424,0.0
FFC,38,2,0.15149950013181943,0.0
FFC,39,2,0.15045354649594975,0.0
FFC,40,2,0.14967327622112792,0.0
FFC,41,2,0.15228854064243116,0.0
FFC,42,2,0.15136386073576405,0.0
FFC,43,2,0.1560097002646525,0.0
FFC,44,2,0.14957713163080588,0.0
FFC,45,2,0.1518488461330729,0.0
FFC,46,2,0.14923471446324435,0.0
FFC,47,2,0.15261707824414042,0.0
FFC,48,2,0.15070749512871834,0.0
FFC,49,2,0.14782505378962146,0.0
FFC,50,2,0.1536094727206072,0.0
FFC,51,2,0.14960038489186164,0.0
FFC,52,2,0.15425598488554187,0.0
FFC,53,2,0.1501984437136205,0.0
FFC,54,2,0.15400925247168787,0.0
FFC,55,2,0.14960089718291103,0.0
FFC,56,2,0.14825212852649838,0.0
FFC,57,2,0.15066691256595047,0.0
FFC,58,2,0.1534310453372558,0.0
FFC,59,2,0.15386300958658108,0.0
FFC,60,2,0.1534859620638257,0.0
FFC,61,2,0.1513950526362645,0.0
FFC,62,2,0.15230513631093967,0.0
FFC,63,2,0.15200801453797605,0.0
FFC,64,2,0.15064272245817478,0.0
FFC,65,2,0.14895586447657458,0.0
FFC,66,2,0.15256304216573943,0.0
FFC,67,2,0.1545013948717527,0.0
FFC,68,2,0.15301741539527197,0.0
FFC,69,2,0.15189696556289337,0.0
FFC,70,2,0.1502337309392093,0.0
FFC,71,2,0.15317424070997993,0.0
FFC,72,2,0.15156173299561626,0.0
FFC,73,2,0.14980962790240085,0.0
FFC,74,2,0.1485703666234608,0.0
FFC,75,2,0.15243550682925922,0.0
FFC,76,2,0.15385965045688893,0.0
FFC,77,2,0.1527512926361238,0.0
FFC,78,2,0.15292630167870128,0.0
FFC,79,2,0.1532318704636569,0.0
FFC,80,2,0.15247854710841663,0.0
FFC,81,2,0.14971255565788233,0.0
FFC,82,2,0.15155318487174457,0.0
FFC,83,2,0.1542121361697802,0.0
FFC,84,2,0.15163172114928872,0.0
FFC,85,2,0.15411680341845052,0.0
FFC,86,2,0.15225688482116045,0.0
FFC,87,2,0.15426904708158032,0.0
FFC,88,2,0.1519302646401693,0.0
FFC,89,2,0.15366382061008954,0.0
FFC,90,2,0.15300425282670407,0.0
FFC,91,2,0.1512052963451441,0.0
FFC,92,2,0.15388213770276163,0.0
FFC,93,2,0.15411056559361475,0.0
FFC,94,2,0.15149139079298826,0.0
FFC,95,2,0.15190226194099557,0.0
FFC,96,2,0.1525890366500597,0.0
FFC,97,2,0.1535077440713333,0.0
FFC,98,2,0.153276469422336,0.0
FFC,3,3,0.12158164932782081,0.0
FFC,4,3,0.0860171549986576,0.0
FFC,5,3,0.06466898019833074,0.0
FFC,6,3,0.07415872113138419,0.0
FFC,7,3,0.08236559108135935,0.0
FFC,8,3,0.09287398067380573,0.0
FFC,9,3,0.11163636429539878,0.0
FFC,10,3,0.11939402551739091,0.0
FFC,11,3,0.1234942805937038,0.0
FFC,12,3,0.12269037706245184,0.0
FFC,13,3,0.13101098710758566,0.0
FFC,14,3,0.13416238110243184,0.0
FFC,15,3,0.1372099353949646,0.0
FFC,16,3,0.13842554056822892,0.0
FFC,17,3,0.14121068916701682,0.0
FFC,18,3,0.13771052258511857,0.0
FFC,19,3,0.14231331037325104,0.0
FFC,20,3,0.14101804165540988,0.0
FFC,21,3,0.14291991460838047,0.0
FFC,22,3,0.1448755054813815,0.0
FFC,23,3,0.1455857870442031,0.0
FFC,24,3,0.1423771507183536,0.0
FFC,25,3,0.14520394476126447,0.0
FFC,26,3,0.14810264219526612,0.0
FFC,27,3,0.1476460040839395,0.0
FFC,28,3,0.14724940786599902,0.0
FFC,29,3,0.146706650692752,0.0
FFC,30,3,0.1492845335645343,0.0
FFC,31,3,0.14867199643236573,0.0
FFC,32,3,0.15382206832889617,0.0
FFC,33,3,0.14893973395845778,0.0
FFC,34,3,0.15114682806539134,0.0
FFC,35,3,0.15450894561566816,0.0
FFC,36,3,0.14622362232518818,0.0
FFC,37,3,0.15008378740371114,0.0
FFC,38,3,0.15218951406339565,0.0
FFC,39,3,0.1509083716891436,0.0
FFC,40,3,0.1506791150468538,0.0
FFC,41,3,0.15259810257117254,0.0
FFC,42,3,0.15177341723615562,0.0
FFC,43,3,0.15640317730054282,0.0
