roi,epoch,training_run,rho,p_value
FFC,1,1,0.1442189903290818,0.0
FFC,2,1,0.11805186152996591,0.0
FFC,3,1,0.09828327612610645,0.0
FFC,4,1,0.07898698737791925,0.0
FFC,5,1,0.06916575102264062,0.0
FFC,6,1,0.06921367449050168,0.0
FFC,7,1,0.0728727886776947,0.0
FFC,8,1,0.07635281067170487,0.0
FFC,9,1,0.079055080633396,0.0
FFC,10,1,0.08435628951010031,0.0
FFC,11,1,0.08536375852123244,0.0
FFC,12,1,0.08657620754546534,0.0
FFC,13,1,0.09579747347247981,0.0
FFC,14,1,0.10152472465415403,0.0
FFC,15,1,0.10595845495192614,0.0
FFC,16,1,0.10789107856120315,0.0
FFC,17,1,0.1120607326882041,0.0
FFC,18,1,0.11201308118156172,0.0
FFC,19,1,0.1166168685307027,0.0
FFC,20,1,0.11521893808731845,0.0
FFC,21,1,0.11923028481410998,0.0
FFC,22,1,0.11958612249706486,0.0
FFC,23,1,0.11974054966989035,0.0
FFC,24,1,0.12177568817509793,0.0
FFC,25,1,0.12273569310786976,0.0
FFC,26,1,0.12388320799906419,0.0
FFC,27,1,0.12728431145683336,0.0
FFC,28,1,0.12647906235976228,0.0
FFC,29,1,0.1249469556381269,0.0
FFC,30,1,0.12579534636634593,0.0
FFC,31,1,0.12633745347477449,0.0
FFC,32,1,0.13014508946127043,0.0
FFC,33,1,0.1284744157251686,0.0
FFC,34,1,0.12878372480693567,0.0
FFC,35,1,0.13345581799813755,0.0
FFC,36,1,0.1260744334157338,0.0
FFC,37,1,0.1291195923912802,0.0
FFC,38,1,0.13187049233617906,0.0
FFC,39,1,0.13033538018841603,0.0
FFC,40,1,0.1278265071932156,0.0
FFC,41,1,0.13042885363384457,0.0
FFC,42,1,0.12887282420521168,0.0
FFC,43,1,0.13151884337343045,0.0
FFC,44,1,0.12801612702260542,0.0
FFC,45,1,0.12873147330754087,0.0
FFC,46,1,0.12859492198958855,0.0
FFC,47,1,0.128644943947196,0.0
FFC,48,1,0.12864996581471094,0.0
FFC,49,1,0.12518316713938477,0.0
FFC,50,1,0.12986353365604794,0.0
FFC,51,1,0.12790808705795745,0.0
FFC,52,1,0.13024189072984693,0.0
FFC,53,1,0.12717070750756132,0.0
FFC,54,1,0.12915701021198034,0.0
FFC,55,1,0.12637065823883592,0.0
FFC,56,1,0.12668326471131713,0.0
FFC,57,1,0.12662875462030204,0.0
FFC,58,1,0.128642571773398,0.0
FFC,59,1,0.1295930000950677,0.0
FFC,60,1,0.12816512779249487,0.0
FFC,61,1,0.1279492501053853,0.0
FFC,62,1,0.12839596159668948,0.0
FFC,63,1,0.1272906203546027,0.0
FFC,64,1,0.12417325778743897,0.0
FFC,65,1,0.12598908115388652,0.0
FFC,66,1,0.12750849369779518,0.0
FFC,67,1,0.12841317260860674,0.0
FFC,68,1,0.12734821505946664,0.0
FFC,69,1,0.12661592270695715,0.0
FFC,70,1,0.1258017050631213,0.0
FFC,71,1,0.12856769066034987,0.0
FFC,72,1,0.12530458682520682,0.0
FFC,73,1,0.1258005184296966,0.0
FFC,74,1,0.12520266950631695,0.0
FFC,75,1,0.12757309245192372,0.0
FFC,76,1,0.1271751437963723,0.0
FFC,77,1,0.1271823176409142,0.0
FFC,78,1,0.1270474193092207,0.0
FFC,79,1,0.1265752672601945,0.0
FFC,80,1,0.1265710269956052,0.0
FFC,81,1,0.12485920042415773,0.0
FFC,82,1,0.12412961901731455,0.0
FFC,83,1,0.12899148593889628,0.0
FFC,84,1,0.12456945195016729,0.0
FFC,85,1,0.12729220600486665,0.0
FFC,86,1,0.12575238787352144,0.0
FFC,87,1,0.12826078266667598,0.0
FFC,88,1,0.12618016156819706,0.0
FFC,89,1,0.12719085565504892,0.0
FFC,90,1,0.12703880431366432,0.0
FFC,91,1,0.12542768008966745,0.0
FFC,92,1,0.12993916909428513,0.0
FFC,93,1,0.12822439322959286,0.0
FFC,94,1,0.12652782918939784,0.0
FFC,95,1,0.12573654205019594,0.0
FFC,96,1,0.1269576511551942,0.0
FFC,97,1,0.12746000398618706,0.0
FFC,98,1,0.12844825004789276,0.0
FFC,2,2,0.11398210520682617,0.0
FFC,3,2,0.08897184949004588,0.0
FFC,4,2,0.07124015465398265,0.0
FFC,5,2,0.068022573289169,0.0
FFC,6,2,0.07557478678760231,0.0
FFC,7,2,0.07972231180355782,0.0
FFC,8,2,0.08316830214456651,0.0
FFC,9,2,0.08754281921354361,0.0
FFC,10,2,0.09517082329924013,0.0
FFC,11,2,0.09727278399666121,0.0
FFC,12,2,0.09921312707255298,0.0
FFC,13,2,0.10931060041349873,0.0
FFC,14,2,0.11324426731745176,0.0
FFC,15,2,0.11746180164934561,0.0
FFC,16,2,0.11828064152710199,0.0
FFC,17,2,0.12086188016009312,0.0
FFC,18,2,0.118304505418037,0.0
FFC,19,2,0.12332649163368133,0.0
FFC,20,2,0.12128639205028859,0.0
FFC,21,2,0.12367076985618193,0.0
FFC,22,2,0.12581600816775537,0.0
FFC,23,2,0.12660784269351952,0.0
FFC,24,2,0.12518687132045164,0.0
FFC,25,2,0.12699966692258505,0.0
FFC,26,2,0.12955793987527128,0.0
FFC,27,2,0.13149639825837764,0.0
FFC,28,2,0.12992676114306928,0.0
FFC,29,2,0.13023734467451195,0.0
FFC,30,2,0.13076047736637988,0.0
FFC,31,2,0.13244545429445356,0.0
FFC,32,2,0.13538388105324334,0.0
FFC,33,2,0.13311654030775033,0.0
FFC,34,2,0.1338395491110797,0.0
FFC,35,2,0.1381014545200945,0.0
FFC,36,2,0.13012053322639167,0.0
FFC,37,2,0.13475339283763274,0.0
FFC,38,2,0.135607143380087,0.0
FFC,39,2,0.13542019179290402,0.0
FFC,40,2,0.1331696713318455,0.0
FFC,41,2,0.1363443105611189,0.0
FFC,42,2,0.13456523153899297,0.0
FFC,43,2,0.13944332413184443,0.0
FFC,44,2,0.13382556112752012,0.0
FFC,45,2,0.13635792624211426,0.0
FFC,46,2,0.1340827074462287,0.0
FFC,47,2,0.13638984046776206,0.0
FFC,48,2,0.13536342081830074,0.0
FFC,49,2,0.13235239835792076,0.0
FFC,50,2,0.1373932998257177,0.0
FFC,51,2,0.13389708938544637,0.0
FFC,52,2,0.13799049385550544,0.0
FFC,53,2,0.13446529020702,0.0
FFC,54,2,0.13777688643638972,0.0
FFC,55,2,0.1340189168938883,0.0
FFC,56,2,0.13296441826403296,0.0
FFC,57,2,0.13419971196248642,0.0
FFC,58,2,0.13624353605732004,0.0
FFC,59,2,0.13778926221364685,0.0
FFC,60,2,0.1371983805057824,0.0
FFC,61,2,0.1353314718114643,0.0
FFC,62,2,0.13519622858379204,0.0
FFC,63,2,0.13610321301229722,0.0
FFC,64,2,0.1333428859248881,0.0
FFC,65,2,0.13302008014865946,0.0
FFC,66,2,0.1350861148126051,0.0
FFC,67,2,0.13701772366909587,0.0
FFC,68,2,0.1361492723000558,0.0
FFC,69,2,0.1352120875752268,0.0
FFC,70,2,0.13384652672398514,0.0
FFC,71,2,0.13676050066947207,0.0
FFC,72,2,0.13490665021753423,0.0
FFC,73,2,0.1336162889028782,0.0
FFC,74,2,0.13310180964446586,0.0
FFC,75,2,0.13584031764740276,0.0
FFC,76,2,0.13667352305380223,0.0
FFC,77,2,0.13593302744810354,0.0
FFC,78,2,0.13640268770971165,0.0
FFC,79,2,0.13613670112099246,0.0
FFC,80,2,0.13544157191715125,0.0
FFC,81,2,0.13334205045029826,0.0
FFC,82,2,0.13495629847722865,0.0
FFC,83,2,0.13681516629046309,0.0
FFC,84,2,0.13458055329454383,0.0
FFC,85,2,0.13685403236205465,0.0
FFC,86,2,0.13551149373479765,0.0
FFC,87,2,0.13708814222402232,0.0
FFC,88,2,0.13509713737488818,0.0
FFC,89,2,0.13697328841764997,0.0
FFC,90,2,0.13651568333214478,0.0
FFC,91,2,0.1340020320766513,0.0
FFC,92,2,0.1368330602898172,0.0
FFC,93,2,0.13659542299273786,0.0
FFC,94,2,0.13510524136845595,0.0
FFC,95,2,0.13559930965780806,0.0
FFC,96,2,0.13538815488625427,0.0
FFC,97,2,0.13649295061321054,0.0
FFC,98,2,0.1364889970918158,0.0
FFC,3,3,0.12100174528008152,0.0
FFC,4,3,0.08422350542836228,0.0
FFC,5,3,0.06273696947430521,0.0
FFC,6,3,0.07120221964058371,0.0
FFC,7,3,0.0767170508462221,0.0
FFC,8,3,0.08271296073874634,0.0
FFC,9,3,0.09453793762303529,0.0
FFC,10,3,0.10096180797668716,0.0
FFC,11,3,0.10485233805166633,0.0
FFC,12,3,0.1044975892049027,0.0
FFC,13,3,0.11398184147356655,0.0
FFC,14,3,0.11643047589278932,0.0
FFC,15,3,0.1214038317064381,0.0
FFC,16,3,0.12156374803165287,0.0
FFC,17,3,0.12540125682484266,0.0
FFC,18,3,0.12231387848157867,0.0
FFC,19,3,0.12690901306159572,0.0
FFC,20,3,0.12467563026992495,0.0
FFC,21,3,0.12721476513082663,0.0
FFC,22,3,0.12878380293578703,0.0
FFC,23,3,0.1288877230140453,0.0
FFC,24,3,0.12720828825994698,0.0
FFC,25,3,0.12949319377436802,0.0
FFC,26,3,0.13260661502790919,0.0
FFC,27,3,0.13316798975378036,0.0
FFC,28,3,0.1313402700721109,0.0
FFC,29,3,0.1324351774285097,0.0
FFC,30,3,0.13289801323803174,0.0
FFC,31,3,0.1334470130257303,0.0
FFC,32,3,0.13657837796884562,0.0
FFC,33,3,0.13330702831793192,0.0
FFC,34,3,0.13445740054569652,0.0
FFC,35,3,0.13870782554486277,0.0
FFC,36,3,0.1309703689092932,0.0
FFC,37,3,0.13514240700593355,0.0
FFC,38,3,0.1363914229049147,0.0
FFC,39,3,0.1357026915957446,0.0
FFC,40,3,0.1339867129651703,0.0
FFC,41,3,0.1365356897117511,0.0
FFC,42,3,0.1347206026721372,0.0
FFC,43,3,0.13974081166599875,0.0
FFC,44,3,0.13408819018486656,0.0
FFC,45,3,0.13672821565359455,0.0
FFC,46,3,0.13358923906638967,0.0
FFC,47,3,0.13608199893114198,0.0
FFC,48,3,0.1350878686136038,0.0
FFC,49,3,0.1324681455361113,0.0
FFC,50,3,0.13664394725737622,0.0
FFC,51,3,0.13309448798425758,0.0
FFC,52,3,0.13778761737004952,0.0
FFC,53,3,0.1343147709903803,0.0
FFC,54,3,0.13763895354498928,0.0
FFC,55,3,0.13416430683390607,0.0
FFC,56,3,0.13316283777471077,0.0
FFC,57,3,0.13447016057718258,0.0
FFC,58,3,0.13609209492591204,0.0
FFC,59,3,0.137479098998575,0.0
FFC,60,3,0.13670471876732063,0.0
FFC,61,3,0.13474862887774475,0.0
FFC,62,3,0.13557548655140103,0.0
FFC,63,3,0.13558013943363206,0.0
FFC,64,3,0.13338548012145335,0.0
FFC,65,3,0.13318854831969107,0.0
FFC,66,3,0.13520697598451736,0.0
FFC,67,3,0.13673756637274437,0.0
FFC,68,3,0.13643432117171297,0.0
FFC,69,3,0.13461997362577585,0.0
FFC,70,3,0.1333425290633807,0.0
FFC,71,3,0.13644095547964222,0.0
FFC,72,3,0.13482972620463196,0.0
FFC,73,3,0.13361436780892777,0.0
FFC,74,3,0.13333941182607845,0.0
FFC,75,3,0.1358791427974311,0.0
FFC,76,3,0.13638553078261517,0.0
FFC,77,3,0.13579760556495116,0.0
FFC,78,3,0.13645077447201165,0.0
FFC,79,3,0.13629569586356502,0.0
FFC,80,3,0.13525487081872942,0.0
FFC,81,3,0.1329984126886763,0.0
FFC,82,3,0.13500999662476118,0.0
FFC,83,3,0.1366158697018818,0.0
FFC,84,3,0.1344742073082907,0.0
FFC,85,3,0.1369941822040107,0.0
FFC,86,3,0.13554407044860886,0.0
FFC,4,4,0.1322012277889658,0.0
FFC,5,4,0.08415582376524587,0.0
FFC,6,4,0.07015862602378697,0.0
FFC,7,4,0.07466897185349743,0.0
FFC,8,4,0.08240394625458371,0.0
FFC,9,4,0.09153873247274805,0.0
FFC,10,4,0.1016161221582886,0.0
FFC,11,4,0.10664944687163275,0.0
FFC,12,4,0.10636043170450629,0.0
FFC,13,4,0.11649781266899308,0.0
FFC,14,4,0.11799652750934969,0.0
FFC,15,4,0.1231354404181669,0.0
FFC,16,4,0.12342592326850864,0.0
FFC,17,4,0.12735022965528348,0.0
FFC,18,4,0.12425441378978962,0.0
FFC,19,4,0.12837456727091,0.0
FFC,20,4,0.1262673044289924,0.0
FFC,21,4,0.12884802518635624,0.0
FFC,22,4,0.12999746240624305,0.0
FFC,23,4,0.13004481186352299,0.0
FFC,24,4,0.12821626772392367,0.0
FFC,25,4,0.13061304131001272,0.0
FFC,26,4,0.13394838011221258,0.0
FFC,27,4,0.1339460256317246,0.0
FFC,28,4,0.13200740503646802,0.0
FFC,29,4,0.13324761201125995,0.0
FFC,30,4,0.13351636768324918,0.0
FFC,31,4,0.13399557595951764,0.0
FFC,32,4,0.13701057393986568,0.0
FFC,33,4,0.1335798153986261,0.0
FFC,34,4,0.1347244024985039,0.0
FFC,35,4,0.1389282990759369,0.0
FFC,36,4,0.13140731372333636,0.0
FFC,37,4,0.13528703504884212,0.0
FFC,38,4,0.13668366460496945,0.0
FFC,39,4,0.135677271082536,0.0
