epoch,roi,rho,p_value
1,va-1,0.0205934672169768,1.0872694852958957e-25
1,va-2,0.027752988619020882,2.7660600293019865e-45
1,va-3,0.06938306038444597,1.3318682620694364e-273
1,LOC,0.06067561685204837,1.2769584547428384e-209
2,va-1,-0.01824887656521294,1.615778170000995e-20
2,va-2,-0.0015247528915004172,0.4379055439613607
2,va-3,0.028132966774220995,1.7439008906964264e-46
2,LOC,0.030625042477251428,9.282323601170689e-55
3,va-1,-0.00569848322398489,0.0037413033385949915
3,va-2,0.007528684443786169,0.00012795934188540472
3,va-3,0.03801963435377323,2.042651858320559e-83
3,LOC,0.09132666246893788,0.0
4,va-1,0.004629671936490265,0.01850237878808183
4,va-2,0.015861304028410277,7.02311047998865e-16
4,va-3,0.0430507090862668,1.967076350618633e-106
4,LOC,0.1367623473013664,0.0
5,va-1,0.017194527325342348,2.1611679589604315e-18
5,va-2,0.025678008304244587,5.142423152648329e-39
5,va-3,0.046970031554008695,2.4276547882358943e-126
5,LOC,0.1727233193278078,0.0
6,va-1,0.03010931876223228,5.458690342190187e-53
6,va-2,0.03361116979108079,1.364909855405718e-65
6,va-3,0.051240551412398666,5.21280179875395e-150
6,LOC,0.19676697129414436,0.0
7,va-1,0.036623049144581615,1.5621287238534581e-77
7,va-2,0.03751842130856654,2.7987336433205363e-81
7,va-3,0.053264278608843425,6.036472735327989e-162
7,LOC,0.20415612565505367,0.0
8,va-1,0.04260369064827794,2.846854940385839e-104
8,va-2,0.04191281153504889,5.6132109255284627e-101
8,va-3,0.05580610644774152,1.3540899124433951e-177
8,LOC,0.21253955850258485,0.0
9,va-1,0.0503699461321015,5.1225550624478204e-145
9,va-2,0.04755505837983305,1.8394901805792553e-129
9,va-3,0.05923988928244891,6.733286733076171e-200
9,LOC,0.21905093209108828,0.0
10,va-1,0.0604982346359322,2.0892591025970685e-208
10,va-2,0.05561106883673815,2.2821927984926547e-176
10,va-3,0.06412936254463236,5.755975987972092e-234
10,LOC,0.22226685091358822,0.0
11,va-1,0.06549175819592375,6.07334877633023e-244
11,va-2,0.05957585097798307,3.7516867693300543e-202
