image,category,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
n01440764_6275.JPEG,n01440764,6.7588797,9.178745,11.638009,8.947471,9.094918,8.002964,9.814309,8.459311,10.489416,11.956316,6.5713263,6.2407827,17.083858,11.747263,7.984871,11.986435,8.543909,6.992533,11.297555,10.791985,9.905551,10.469193,10.144804,7.7043667,9.7532835,7.864343,10.4422655,10.117731,8.094882,10.9321785,9.237928,11.011555,8.357078,6.415672,12.82075,7.449816,7.585597,8.728478,8.203326,9.787054,8.665488,9.167576,12.040058,10.03793,10.863338,8.06576,10.320417,11.28407,7.983636,7.8692923,11.123558,11.114354,8.075402,9.141997,9.119038,9.662814,9.065059,7.6772437,10.125679,8.23768,9.192792,10.857948,10.690388,5.566251,9.323363,9.782359
n01440764_13116.JPEG,n01440764,9.582824,10.170291,11.765808,9.843616,8.861026,7.874068,10.5974045,8.850658,9.867222,11.195684,7.280162,5.866971,16.202124,12.248104,7.549639,13.240721,9.046692,8.46036,11.547921,12.111345,11.1019535,10.35141,10.638533,6.217911,11.212617,8.317506,10.93617,9.709467,8.0035095,10.991964,8.744068,9.312301,8.546733,8.82136,11.685255,8.792109,9.364948,7.8083873,9.165666,11.656826,10.933595,9.388006,10.576381,9.882248,10.929012,7.517939,11.900869,11.232578,9.90032,9.8594265,11.547236,12.33664,9.167728,9.93349,9.030108,10.424967,9.6036825,7.82911,9.084533,10.733432,10.05316,12.388475,12.559494,6.044225,8.560209,10.359296
n01443537_3999.JPEG,n01443537,9.0330925,12.038495,13.065987,8.282467,7.5899534,14.736419,12.775856,12.330174,7.2874784,9.990673,10.670108,9.226051,7.5914927,14.101249,9.017055,15.686867,5.049994,12.588496,13.949478,12.655785,10.681069,7.942916,8.937326,9.698471,9.176843,9.690582,8.443807,12.718847,7.548646,12.386265,13.179835,12.565306,8.504992,9.079887,11.240389,12.742625,11.9352455,9.074012,8.540628,13.7494755,9.246544,7.250627,9.448421,12.911625,10.768788,10.103507,8.7356415,10.337839,11.917441,10.069249,14.287703,11.699053,5.876372,13.499851,7.1963205,13.142845,9.4745035,8.45776,14.235735,6.946984,14.229051,13.638753,11.002678,6.5286927,7.500181,10.585382
n01443537_13255.JPEG,n01443537,14.269964,13.351025,14.407831,13.02686,10.792463,14.097269,15.1330185,13.403583,12.6904335,10.991459,11.460446,14.84175,12.745266,11.734131,12.438467,13.037001,8.881868,13.913538,16.268847,16.03729,12.657558,14.606798,14.213973,13.267849,17.488327,12.296376,12.460002,13.512808,12.678181,13.992975,9.335672,12.220416,6.1493697,10.899987,12.027293,9.940416,10.433831,11.378613,12.499518,14.387688,16.227392,13.921216,17.067333,11.8724,14.865309,11.851073,10.681535,11.897956,11.995643,13.68325,12.772365,14.4767685,8.93248,11.531975,13.328971,15.31752,13.810992,9.472977,16.399973,13.440402,11.857598,15.745148,14.514366,7.8352904,12.093219,14.94138
n01484850_30808.JPEG,n01484850,9.886129,11.812412,12.16436,9.480121,6.776109,9.000434,13.277863,13.637383,11.934635,10.489067,8.047477,9.218422,10.445727,10.700329,8.767652,9.595439,6.2609,10.218063,13.371017,12.608467,11.510946,12.576283,10.69479,9.251836,11.123064,12.714646,7.9011517,10.929421,9.930338,13.66659,11.983427,11.172162,9.41362,11.092195,10.329965,8.390353,9.585092,10.672823,10.195755,12.189321,11.216947,15.925564,9.803059,13.317349,10.133941,6.0791264,9.890723,10.76518,10.731594,10.965406,13.775206,12.662528,11.426002,9.221621,8.235146,13.05581,11.225396,9.462582,11.372404,9.217156,11.254159,13.203435,11.446693,10.676205,12.301218,11.380793
n01484850_13317.JPEG,n01484850,10.950913,10.511727,11.796331,9.862504,7.2158685,10.2434225,11.558541,13.099729,9.482804,8.574829,5.1325583,9.4410515,11.28498,10.168598,8.809179,10.415835,10.487783,9.829035,13.95299,11.66832,10.504621,8.379675,9.638168,7.127966,13.680065,11.664072,8.05397,9.961646,8.38086,11.175164,11.810722,10.151375,10.8691,10.722092,10.389011,6.507972,9.377805,9.361709,11.209026,13.78924,11.231262,12.282607,8.773413,12.314049,8.731368,6.4665546,12.535689,9.547503,10.308826,11.570046,13.651921,12.396058,11.125406,8.997099,8.6709,12.970283,10.449907,9.146919,7.3389897,10.864281,11.88624,12.478046,11.369343,6.5039473,7.9695554,10.638969
n01491361_6656.JPEG,n01491361,11.318078,11.681566,14.538008,11.296082,8.166813,9.487176,13.358612,13.275744,12.4460745,11.621895,9.210314,7.5815125,10.168022,8.946864,9.252874,11.053228,8.644123,10.95222,15.076308,10.796036,11.913727,11.284521,10.03253,9.246824,11.730695,13.107022,11.208244,10.97695,9.950445,12.665547,11.991489,12.4720545,6.822815,10.040642,10.518848,6.8843446,6.851836,9.28215,10.921858,12.624364,11.285083,14.304972,9.474434,12.251308,9.392877,7.622626,7.859557,10.236582,10.068543,10.15308,16.336369,12.222851,10.539743,10.53718,8.470885,14.539261,12.289949,11.202559,11.637029,9.507452,9.820647,13.732544,11.778962,10.171864,13.314429,12.088003
n01491361_12631.JPEG,n01491361,10.55071,13.081035,14.128555,11.304731,10.099592,11.374619,12.22387,14.010411,11.306809,12.908752,10.741936,7.233218,11.32001,10.033831,11.678094,12.996739,8.236343,12.348439,15.4122095,10.598808,13.437031,11.257938,11.63067,8.857446,10.7186575,11.393283,10.838805,12.373796,9.019745,13.87575,12.475005,12.114296,10.801586,9.723956,11.874358,7.7598786,8.29378,9.371121,10.176681,13.100142,10.75943,16.8517,10.669413,12.911185,11.163601,8.420346,10.921447,10.74709,11.508813,10.13083,16.808924,14.116979,9.044509,9.416102,8.515003,13.692252,13.589793,11.150141,10.990477,9.876788,13.355996,14.3224125,11.872535,8.111539,11.544735,12.586413
n01494475_500.JPEG,n01494475,11.706962,11.9814205,14.780158,11.001864,9.944861,11.269541,11.788686,14.989555,12.132095,10.357705,9.393697,8.513014,12.229263,9.524508,10.315681,13.01925,9.956323,11.579638,15.290684,11.029602,12.433982,10.014975,10.505688,8.909483,11.124596,12.006254,10.149677,12.010135,8.660283,11.580275,11.869677,12.05319,7.8110785,10.1644,11.275549,5.9287214,5.7682505,10.273389,12.436038,11.861554,11.679359,11.260027,9.306392,11.919556,9.0397625,6.6735377,10.831577,11.530587,9.786977,9.314266,15.050909,11.746991,10.069453,8.794336,10.368018,13.666198,13.340935,10.048193,10.937667,9.44062,9.683163,13.884568,11.820908,5.791856,10.412998,12.220916
n01494475_1260.JPEG,n01494475,10.056049,10.841085,12.850015,9.451615,8.13981,9.583487,11.596661,13.342921,10.609916,10.856993,7.9902163,9.582208,11.587867,10.067747,11.770563,11.037685,8.131164,10.935031,14.93196,11.008596,11.4589615,10.300129,10.055386,8.786348,12.927127,11.849473,9.075991,10.453463,8.353676,14.186506,11.78699,12.163963,6.9951086,9.650685,9.883532,7.576349,8.705392,10.033547,11.658571,11.728724,11.433298,13.085771,10.546769,11.829938,10.63121,8.7425585,12.265718,9.166206,9.7614765,12.215981,17.200205,13.10002,11.572257,8.847327,8.65838,12.602681,11.679255,8.643363,10.186445,10.758588,11.801167,13.330796,10.595951,7.407472,9.28541,11.438315
