image,category,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
n01440764_6275.JPEG,n01440764,6.7588778,9.178745,11.638009,8.947468,9.094917,8.002961,9.814305,8.459309,10.489414,11.956318,6.5713243,6.240781,17.083858,11.747261,7.98487,11.986432,8.543905,6.992532,11.297551,10.791981,9.905548,10.469192,10.144804,7.704366,9.753281,7.8643413,10.442265,10.11773,8.094883,10.932175,9.237927,11.011554,8.357076,6.4156694,12.820749,7.4498167,7.585597,8.728478,8.203324,9.787055,8.665486,9.167576,12.040059,10.037928,10.8633375,8.065759,10.320414,11.284067,7.9836345,7.8692927,11.123555,11.114354,8.075401,9.141996,9.119035,9.662813,9.065055,7.6772437,10.125677,8.23768,9.192792,10.857946,10.690385,5.5662503,9.323361,9.782358
n01440764_13116.JPEG,n01440764,9.582825,10.170291,11.765806,9.843615,8.861025,7.874069,10.5974045,8.850658,9.867222,11.195685,7.2801647,5.8669715,16.202126,12.248102,7.5496407,13.240721,9.046692,8.46036,11.547921,12.111347,11.101956,10.35141,10.638532,6.2179103,11.21262,8.317506,10.936167,9.709465,8.0035095,10.991966,8.744068,9.312301,8.546733,8.82136,11.685257,8.792111,9.364945,7.808388,9.165667,11.656825,10.933594,9.388004,10.576383,9.882248,10.929013,7.5179405,11.900871,11.232578,9.900321,9.859428,11.547236,12.33664,9.167728,9.933492,9.030112,10.424968,9.6036825,7.8291135,9.084531,10.73343,10.053159,12.388477,12.559494,6.044225,8.560209,10.359298
n01443537_13255.JPEG,n01443537,14.269964,13.351027,14.407834,13.026863,10.792464,14.09727,15.133018,13.403581,12.6904335,10.991461,11.460445,14.84175,12.745267,11.734133,12.438469,13.037001,8.88187,13.913538,16.268847,16.03729,12.657558,14.606798,14.213973,13.267849,17.488327,12.296375,12.460001,13.512808,12.678181,13.992977,9.335672,12.220415,6.149371,10.899987,12.027293,9.940418,10.433832,11.378615,12.499521,14.38769,16.22739,13.921216,17.067333,11.872401,14.865309,11.851073,10.681535,11.897957,11.995643,13.683253,12.772365,14.476768,8.932484,11.531975,13.328971,15.31752,13.810994,9.472979,16.399973,13.440402,11.8576,15.745148,14.514367,7.8352914,12.093222,14.94138
n01443537_3999.JPEG,n01443537,9.033093,12.038495,13.065988,8.282469,7.5899544,14.736419,12.775859,12.330177,7.2874784,9.990673,10.670109,9.226054,7.5914927,14.101249,9.0170555,15.686868,5.0499954,12.588498,13.949481,12.655787,10.681071,7.942918,8.937329,9.698471,9.176846,9.690582,8.4438095,12.718849,7.5486474,12.386263,13.179838,12.565306,8.504992,9.079887,11.240391,12.742625,11.935246,9.074015,8.540629,13.749477,9.246542,7.2506285,9.44842,12.911627,10.768793,10.103508,8.735639,10.337842,11.917444,10.069251,14.287704,11.699055,5.8763723,13.499853,7.196323,13.142845,9.474505,8.457761,14.235738,6.946986,14.229054,13.638756,11.002679,6.5286927,7.5001836,10.585386
n01484850_30808.JPEG,n01484850,9.8861265,11.81241,12.164358,9.480123,6.7761073,9.000434,13.277862,13.637384,11.934635,10.489068,8.047476,9.218422,10.445726,10.700327,8.767652,9.595438,6.260897,10.218062,13.3710165,12.608467,11.510942,12.5762825,10.694788,9.251835,11.123066,12.7146435,7.9011497,10.929421,9.930335,13.666587,11.983425,11.172159,9.413616,11.092192,10.329961,8.390353,9.585089,10.672822,10.195755,12.1893215,11.216946,15.925564,9.803056,13.317345,10.133938,6.079124,9.890721,10.765179,10.73159,10.965406,13.775204,12.662525,11.426002,9.22162,8.235143,13.055809,11.225395,9.462578,11.372401,9.217158,11.254156,13.203433,11.446693,10.676202,12.301215,11.380791
n01484850_13317.JPEG,n01484850,10.950912,10.511729,11.796332,9.862503,7.215871,10.243424,11.558544,13.099729,9.482805,8.574831,5.13256,9.441053,11.28498,10.168598,8.80918,10.415835,10.487783,9.829034,13.9529915,11.66832,10.504622,8.379676,9.638168,7.1279655,13.680065,11.664072,8.05397,9.961645,8.380861,11.175164,11.810722,10.151375,10.869101,10.722091,10.389011,6.50797,9.377805,9.36171,11.209026,13.78924,11.231264,12.282606,8.773414,12.314052,8.731369,6.466554,12.535689,9.547505,10.3088255,11.570045,13.651922,12.396058,11.125405,8.997101,8.6709,12.9702835,10.44991,9.146923,7.338991,10.86428,11.886242,12.478048,11.369345,6.5039477,7.9695544,10.63897
n01491361_6656.JPEG,n01491361,11.31808,11.681567,14.53801,11.296084,8.166817,9.487173,13.358614,13.275744,12.446077,11.621898,9.210316,7.5815125,10.168021,8.946864,9.252873,11.053229,8.644123,10.952222,15.076308,10.796038,11.913729,11.284522,10.032531,9.246826,11.730694,13.107021,11.208246,10.976953,9.950445,12.66555,11.99149,12.472055,6.822817,10.040643,10.518849,6.884347,6.851837,9.282151,10.921859,12.624367,11.285086,14.304974,9.474432,12.251308,9.392879,7.6226277,7.859556,10.236584,10.068545,10.153081,16.336372,12.22285,10.539746,10.537179,8.470884,14.539263,12.289951,11.202559,11.637029,9.507451,9.820649,13.732542,11.778963,10.171865,13.314429,12.088005
n01491361_12631.JPEG,n01491361,10.550712,13.081037,14.128552,11.304728,10.099593,11.374619,12.223869,14.010413,11.30681,12.908751,10.741934,7.233216,11.32001,10.033831,11.678095,12.9967375,8.236343,12.348439,15.412211,10.598807,13.43703,11.257938,11.63067,8.857446,10.718654,11.393282,10.838803,12.373797,9.019744,13.87575,12.475005,12.114295,10.80159,9.723957,11.874357,7.759878,8.293782,9.371122,10.176681,13.100144,10.759431,16.8517,10.669412,12.911184,11.163599,8.420348,10.921448,10.747088,11.508814,10.130833,16.808922,14.116979,9.044507,9.416105,8.515003,13.692251,13.589793,11.150142,10.990478,9.876791,13.355996,14.322411,11.872535,8.111535,11.544735,12.586413
n01494475_500.JPEG,n01494475,11.706964,11.9814205,14.780158,11.001865,9.94486,11.269538,11.788687,14.989555,12.132094,10.357707,9.393697,8.513016,12.22926,9.524508,10.315682,13.019254,9.956321,11.579637,15.290682,11.029599,12.43398,10.014975,10.505688,8.909483,11.124596,12.006254,10.149674,12.010132,8.660284,11.580276,11.869678,12.053191,7.811079,10.164401,11.275549,5.928722,5.768249,10.273387,12.436037,11.861556,11.6793585,11.260026,9.306392,11.919558,9.039763,6.6735373,10.831577,11.530585,9.786975,9.314266,15.05091,11.74699,10.069452,8.794337,10.368017,13.666198,13.340935,10.048191,10.937669,9.4406185,9.683161,13.884565,11.820907,5.7918553,10.412997,12.220912
n01494475_1260.JPEG,n01494475,10.056051,10.841085,12.850015,9.451614,8.139809,9.583489,11.596662,13.342923,10.609917,10.856993,7.990217,9.582208,11.587865,10.067747,11.77056,11.037685,8.131165,10.935033,14.93196,11.008598,11.458963,10.300132,10.055387,8.786351,12.927129,11.849471,9.075993,10.453462,8.353678,14.186509,11.786992,12.163961,6.9951096,9.650685,9.8835335,7.5763493,8.705393,10.033548,11.658571,11.728721,11.433299,13.085769,10.546771,11.829939,10.631212,8.74256,12.2657175,9.166208,9.761476,12.215983,17.200203,13.100025,11.572257,8.847326,8.658382,12.602684,11.6792555,8.643362,10.186446,10.758589,11.801169,13.330798,10.595951,7.407472,9.285411,11.438317
n01496331_12164.JPEG,n01496331,10.147725,12.525399,14.365599,12.313848,11.45985,12.887555,11.357495,14.496138,12.536277,10.523992,8.031471,6.355271,8.721015,14.691943,13.003963,11.455579,11.428949,12.302919,15.413417,10.225219,10.88308,9.089869,15.851362,8.293772,13.938093,11.243353,12.942187,13.175553,10.755105,15.54353,10.137543,9.000447,10.872037,14.124974,10.043454,13.729718,11.670418,11.448401,10.224908,14.830176,12.327404,19.34997,11.011176,10.397834,13.374199,10.331802,9.398545,14.644133,8.522972,12.810862,17.691895,19.816107,13.801029,11.744269,8.30863,13.242187,13.954226,10.489945,11.683551,15.30753,15.61351,14.559564,11.623006,8.018465,12.478064,14.503235
n01496331_4208.JPEG,n01496331,10.288477,11.851658,13.351181,10.416633,10.064652,11.012311,13.707455,14.445745,10.501461,9.73686,8.197363,8.818407,10.636902,11.189888,11.535802,10.419613,8.835773,12.517582,15.28849,15.541399,12.554786,8.933668,14.72363,7.1018977,12.172027,12.360956,7.6297975,11.552509,9.021845,13.822394,11.488894,11.634937,9.586092,12.928075,9.999478,12.060436,9.559149,10.577414,10.2962675,16.084782,14.890417,17.587975,11.879993,9.332355,10.71743,10.835938,10.643651,13.8360615,9.946208,10.030755,14.7184105,15.398306,11.704549,9.399195,8.715169,14.929101,12.457211,9.444046,9.0596485,9.457805,13.769075,14.6147995,10.792934,10.322739,9.245346,15.285866
n01498041_7880.JPEG,n01498041,9.717551,10.866743,13.376994,10.921623,8.0159445,10.575351,12.077488,12.644184,11.692478,8.739447,8.88812,6.371975,9.455147,11.219748,10.248621,10.596981,12.303038,10.020541,14.672941,11.670935,11.570223,7.0539107,12.119756,6.843699,12.677012,11.025948,10.4696245,10.310364,7.9019265,14.59552,8.959953,10.502575,10.54505,9.140394,11.630029,12.151502,10.461372,8.779013,9.506479,17.943987,11.5950775,13.424535,11.402098,12.548989,10.368946,9.274004,9.468378,12.191922,8.957573,10.798317,13.271213,16.148474,8.367847,10.848691,9.475383,12.341649,12.328009,9.07815,8.685866,12.437249,12.884338,14.136208,12.652497,8.967915,11.183579,11.2821455
n01498041_12648.JPEG,n01498041,8.555109,7.9820485,13.010205,9.676816,7.7499137,8.034034,13.004189,12.522764,11.195618,8.628391,6.8200784,6.7607274,9.609151,10.215431,9.80064,7.5196743,10.408754,8.274524,13.252764,10.816804,10.381569,6.5993757,12.132818,7.316078,11.635076,10.526239,7.366559,7.7514806,7.4361553,11.727048,9.653274,7.241755,9.684861,9.273412,10.470739,8.387185,8.271173,5.9967036,9.489091,18.402514,13.201116,16.67553,10.584561,11.255191,10.178022,9.381476,6.0225854,10.220325,6.3917985,9.387716,10.8500805,14.027619,8.510216,9.302837,7.3529005,11.988328,9.789241,8.484724,8.81531,10.797136,9.091301,11.447172,8.549263,8.6522665,9.786649,11.132826
n01514668_22416.JPEG,n01514668,8.332386,12.689871,14.338325,10.698842,7.0590496,10.752541,10.885679,11.516052,10.323963,10.107042,7.807231,9.251128,10.8546,11.989377,10.163148,8.729066,8.628538,6.758421,10.115184,11.68678,12.764019,9.326448,10.229335,8.655142,11.38954,9.607486,9.357284,11.989466,7.396392,13.026836,5.857429,7.63051,12.693356,9.786551,12.770171,8.230272,7.2034264,9.899199,8.65661,13.75716,9.5036545,10.567179,8.731619,10.462189,9.180934,9.670533,8.881472,11.571377,9.486984,12.079345,13.017008,11.6602745,9.136863,7.9238815,15.161167,11.005086,11.44721,7.958629,9.606133,9.648423,11.809621,13.626352,12.596708,9.086167,9.615608,11.732041
n01514668_14370.JPEG,n01514668,12.098008,13.0203085,15.2879925,12.236502,9.842698,13.862513,14.475507,12.158278,10.637392,13.316844,9.476582,13.325203,10.008136,12.192516,11.154081,10.71485,7.2491975,9.898981,11.168933,13.738548,12.736572,7.8900366,12.75527,12.039191,11.01097,10.6458845,6.7862496,12.28879,9.908142,14.440521,6.311145,11.065227,12.258594,11.4566555,13.62209,9.474321,9.32183,10.645588,10.326895,15.151392,12.600115,10.838272,8.599004,10.514279,10.201869,12.421222,9.246245,11.06118,10.450648,10.2476,13.381842,12.919359,11.074932,10.183207,16.614588,13.195703,11.938104,9.199606,12.775141,10.451345,12.085069,13.86424,12.2928295,9.818896,12.240204,15.423353
n01514859_6497.JPEG,n01514859,10.689901,14.524542,16.350487,12.113426,10.937202,13.380268,13.622591,11.742789,11.741326,14.3975315,10.00785,13.448577,13.635084,11.438751,10.538938,9.304341,7.280179,8.156572,11.0009775,13.003341,12.860063,8.033146,11.531265,10.468924,12.656595,11.723288,16.086678,12.539511,11.856627,12.275131,6.223862,10.555985,13.518125,10.341411,13.043378,8.762377,7.329827,10.085891,11.334446,14.483931,10.841254,11.3794,12.842117,10.524489,11.765693,12.267616,8.924177,11.583167,9.344797,12.025688,13.405697,13.7606535,11.270044,10.994135,15.116395,12.344722,12.395765,10.5292225,14.012337,10.345938,11.223939,14.605575,11.530837,9.571132,12.659634,14.099232
n01514859_12182.JPEG,n01514859,7.9235473,11.264417,12.338781,7.913956,8.660565,10.363187,11.902447,11.223002,10.020753,11.197586,8.32689,7.268401,12.345694,10.209222,8.826159,7.3305674,7.072499,5.240735,9.004758,10.149293,11.025314,6.956122,9.692585,9.166525,11.508103,9.268814,6.053356,12.16378,6.598337,11.438342,5.2112656,7.7630563,12.20546,9.067078,12.30442,6.4150133,8.929284,9.643558,7.8597703,12.227074,12.1264,8.073717,9.585075,8.795408,8.442422,10.444643,9.576432,12.141456,9.160387,10.901844,10.930457,10.944346,7.7608294,10.04387,16.154028,10.383625,10.111651,7.545583,11.144826,9.463689,9.982513,12.305933,9.93803,8.700372,8.302416,10.871328
n01518878_1363.JPEG,n01518878,10.58234,12.251141,16.557096,11.329045,11.297551,12.107178,14.553584,13.417125,10.878993,10.56628,12.4463215,11.047314,15.013574,12.57509,12.314219,11.380899,10.3274975,11.575797,11.569547,15.229252,13.514462,10.655969,10.26996,9.662681,15.548797,14.057219,14.407009,11.173914,11.937639,12.75857,11.235205,11.7061825,11.04892,12.287976,9.602217,12.81352,10.439142,11.198303,13.005039,17.465574,12.774354,13.644275,10.214458,9.950517,9.332341,13.852358,7.426369,12.787829,9.8477545,11.854673,14.094069,16.078018,10.574065,11.0698,15.082943,14.080064,12.762465,12.147691,13.337185,10.683571,10.957648,15.557589,12.096967,13.162539,11.959047,13.061474
n01518878_39547.JPEG,n01518878,11.633733,11.581181,15.650938,10.761963,10.212421,11.175031,14.173369,11.250406,11.028914,11.427854,11.172066,7.8891025,11.410522,11.318893,11.719741,9.744475,11.274519,11.140699,11.566303,14.137673,13.0427065,8.615271,11.005256,8.950831,14.815533,13.737469,8.617028,11.911527,9.408639,14.286125,8.423239,12.951822,10.889198,15.288909,12.079915,13.111246,9.944408,8.350224,13.013697,17.834524,13.133221,14.10861,10.817742,11.507046,10.192406,13.4722595,9.781744,12.310456,10.532625,12.538213,19.154068,16.578266,14.374203,11.80413,12.524144,14.750086,11.465558,11.56398,11.086317,12.29996,14.407327,14.627144,11.628193,12.757824,10.478582,11.405217
n01530575_10367.JPEG,n01530575,8.015001,11.483494,13.003241,11.09848,11.768157,10.4029665,10.328219,12.636267,11.4038515,13.246274,5.699872,8.056811,13.200185,12.605437,8.761488,10.825341,10.508827,7.0251813,10.647585,10.279283,13.812486,7.2539716,11.5116205,7.182307,11.211905,9.701059,7.9319634,11.495259,9.203674,12.692228,7.1246557,12.6343775,7.8926163,8.691277,11.241257,14.371928,7.580837,8.655965,13.763821,13.212895,9.917537,16.809237,6.895362,7.750008,8.520587,8.585634,8.01513,13.415331,8.176274,12.065255,15.367675,15.038779,9.463949,9.199405,12.12271,12.717758,11.93552,11.056784,13.503819,11.1596775,9.308414,15.719242,9.921076,10.587949,10.059235,12.733939
n01530575_6550.JPEG,n01530575,7.9450717,14.374642,12.768719,10.947528,11.745132,11.837514,11.869987,11.307063,9.040549,12.495331,6.9006934,6.3900857,12.7750635,12.410234,6.565921,9.362931,9.076036,7.066912,10.55894,8.85051,13.276705,4.2870226,9.838598,7.2387033,9.125431,9.41894,8.48256,12.049442,8.503323,11.321135,7.6058946,9.403338,9.171958,10.013723,10.51454,10.039117,6.8523297,8.847508,12.297341,11.745885,8.928383,12.972903,8.555837,6.99194,10.9570875,5.219658,7.9768806,12.175143,8.657808,10.780217,14.876337,11.97246,11.502815,9.699468,10.760966,12.39286,10.821988,11.917936,13.911073,8.618202,10.133419,12.592961,9.787226,9.793439,9.036255,10.374304
n01531178_12895.JPEG,n01531178,8.236264,11.428296,13.960084,11.368509,11.828547,11.115751,12.282218,12.996246,11.323134,9.936695,8.564655,10.52046,14.572601,12.252533,9.46706,11.597794,9.6190605,8.473066,11.218792,11.663445,13.764423,7.4346633,11.125072,9.480308,12.495376,9.913504,8.371515,12.393251,10.468134,12.631564,7.5718017,14.21621,10.651372,10.87511,12.573261,12.123297,7.4866796,10.157812,13.779743,14.037275,10.104873,16.742893,11.376597,8.209334,16.914457,10.993901,10.11367,12.803471,7.5796833,11.087225,16.112114,14.932777,11.451944,9.735595,13.2077875,14.026573,13.068138,11.530678,10.370505,11.591671,10.187712,15.419661,10.9873295,10.304913,12.429933,12.368044
n01531178_4486.JPEG,n01531178,10.3901,12.734217,13.535876,13.08385,11.638069,11.42845,12.420348,12.796701,11.3876915,9.86481,8.484142,10.316142,13.234298,12.592806,9.555045,10.42733,9.32567,8.42707,11.094774,11.211103,14.171494,7.6510735,11.435884,9.1193285,9.440056,11.283543,8.812124,12.310224,10.355367,13.179159,7.744846,11.253509,12.52745,12.61726,12.086758,12.918695,9.924999,10.284255,12.462807,14.546236,10.981993,16.934977,12.942571,9.262389,15.382978,9.301955,10.641415,12.2182865,8.060287,11.681791,14.718246,14.37611,12.203408,11.588733,13.31794,12.97774,12.813701,11.923895,12.49554,9.952227,11.698484,14.795357,11.294911,13.678539,11.290445,12.860107
n01532829_36441.JPEG,n01532829,7.0534015,12.558074,11.911213,11.086751,11.578423,9.864552,11.040202,9.726231,10.410677,10.505607,5.83874,6.887505,12.291746,9.788077,8.581708,8.119895,6.6080017,6.563185,9.430021,12.658988,11.359623,5.051372,10.825108,11.227459,8.504883,9.045127,6.174176,9.959693,8.618187,10.93511,6.362156,9.823134,9.496909,8.581109,9.569779,7.517143,7.179398,9.3966465,10.903145,13.316334,9.204196,11.372209,9.276393,5.3928657,7.811887,8.153722,8.652971,11.039477,5.912162,10.366092,12.499183,12.722321,7.6827197,8.408644,11.620632,10.509149,12.292738,13.353073,8.431706,9.031422,10.675123,11.915005,9.978641,10.111415,8.81597,11.559192
n01532829_13611.JPEG,n01532829,10.012934,11.518161,13.296029,12.894022,12.762817,13.3888855,12.121704,13.789608,10.778285,10.4462385,7.6882124,11.700717,13.546501,13.528201,9.917671,10.79874,12.30714,7.9293013,11.1822405,12.682337,14.298018,7.072858,13.968923,17.236567,11.899635,9.82733,4.5522943,13.736701,12.050692,12.645085,8.904667,10.35806,13.012836,12.614542,13.260524,11.281012,9.918334,9.702425,13.210362,16.546614,11.715978,15.184643,10.359911,8.224839,9.459559,11.912946,12.818705,11.031287,10.50452,13.128835,16.960194,16.32361,13.000652,10.741002,12.961791,13.502757,12.041083,11.142616,12.789628,11.439747,13.256952,13.409692,10.906471,11.785117,11.80385,14.698261
