epoch,roi,rho,p_value
1,va-1,0.03743142684656423,6.530628305428182e-81
1,va-2,0.037034904232772815,3.030294614473971e-79
1,va-3,0.07493941608521619,0.0
1,LOC,0.04898790566781735,2.87501393305939e-137
2,va-1,0.010616311637783747,6.615419335414662e-08
2,va-2,0.01525378142914664,8.4277766655641e-15
2,va-3,0.03616737537509634,1.1637875131560294e-75
2,LOC,-0.014266820195580896,3.906331842754191e-13
3,va-1,0.02006415531811109,1.809370845992627e-24
3,va-2,0.02442882392915559,1.7900270134827662e-35
3,va-3,0.047064737469234785,7.632304066532989e-127
3,LOC,0.053532087848083415,1.467116216992262e-163
4,va-1,0.024989999506881404,4.824198510076335e-37
4,va-2,0.02866549211178824,3.4044085059721025e-48
4,va-3,0.05015834629899081,8.127142763973291e-144
4,LOC,0.1024550667910753,0.0
5,va-1,0.029491098524492033,6.589276188398095e-51
5,va-2,0.03407940690462685,2.2163125127459314e-67
5,va-3,0.053002330008169396,2.248635075060507e-160
5,LOC,0.15009514068710605,0.0
6,va-1,0.03577183517632478,4.699216018314268e-74
6,va-2,0.039448180499205114,1.1609122786930301e-89
6,va-3,0.058127308962399274,1.5893002171912468e-192
6,LOC,0.19593475048037184,0.0
7,va-1,0.04120079348110815,1.2261740839681195e-97
7,va-2,0.04133576168789156,2.8836745865482825e-98
7,va-3,0.060321191616378805,3.37228781554945e-207
7,LOC,0.21391550500865447,0.0
8,va-1,0.04591150192599691,8.571284461907939e-121
8,va-2,0.043585502198304565,4.77997573985688e-109
8,va-3,0.06189673694820374,4.4994796650495515e-218
8,LOC,0.22172911106437962,0.0
9,va-1,0.05349566407022608,2.43500232804143e-163
9,va-2,0.04840326611567085,4.696131526934953e-134
9,va-3,0.06446661174013299,2.042376928130435e-236
9,LOC,0.2268673535709312,0.0
10,va-1,0.06263555667194987,2.8612392804640385e-223
10,va-2,0.053790137632598024,4.0113614439819523e-165
10,va-3,0.06846051284773803,2.050870144702584e-266
10,LOC,0.22261026416076046,0.0
11,va-1,0.06402801272887267,3.117872622268254e-233
11,va-2,0.05535898252500695,8.659308413008871e-175
11,va-3,0.06661419568740595,2.542607996020484e-252
11,LOC,0.22503378539638969,0.0
12,va-1,0.06204831262219322,3.9091894700038644e-219
12,va-2,0.05466553115101604,1.7550440109126033e-170
12,va-3,0.06432105560694082,2.339540073840943e-235
12,LOC,0.22804353030060923,0.0
13,va-1,0.05978469378754632,1.467651084737156e-203
13,va-2,0.053152539065535534,2.8309585684299744e-161
13,va-3,0.06208050402426428,2.3248832060899167e-219
13,LOC,0.2399319745590206,0.0
14,va-1,0.05739340687708036,9.724215369809644e-188
14,va-2,0.0511924385044553,9.890291619004708e-150
14,va-3,0.06005226311562321,2.2696925142512368e-205
14,LOC,0.24949357178482054,0.0
15,va-1,0.05693923122514127,8.307659399582194e-185
15,va-2,0.05148977080619179,1.8713572072384167e-151
15,va-3,0.06085897640816279,7.042120563176914e-211
15,LOC,0.25112814184954596,0.0
16,va-1,0.055703690664276384,5.974992333561384e-177
16,va-2,0.050435046213992404,2.1834399971038876e-145
16,va-3,0.06066644915526865,1.4757007504300142e-209
16,LOC,0.2595823035480518,0.0
17,va-1,0.05404971573348018,1.0550015789435864e-166
17,va-2,0.04945444375267941,7.360211825809931e-140
17,va-3,0.059302044982291004,2.5833544504119407e-200
17,LOC,0.26583691248553465,0.0
18,va-1,0.05529588944666313,2.1457897933551535e-174
18,va-2,0.05037705805881322,4.6671438709087224e-145
18,va-3,0.060814082274797066,1.4327934685444202e-210
18,LOC,0.26956729266272544,0.0
19,va-1,0.0547151327348112,8.67036660375232e-171
19,va-2,0.04998032259482953,8.241046339629616e-143
19,va-3,0.061251443810639794,1.3842169805554922e-213
19,LOC,0.2770168258093572,0.0
20,va-1,0.05283160987274194,2.3534030487959003e-159
20,va-2,0.04902338265537212,1.829868142605731e-137
20,va-3,0.06005537595547799,2.1619938358895894e-205
20,LOC,0.27951139290953264,0.0
21,va-1,0.05380380118426268,3.313696367341826e-165
21,va-2,0.04903325265411315,1.6136315862089326e-137
21,va-3,0.060154945009876455,4.5599012368000256e-206
21,LOC,0.27912904501835967,0.0
22,va-1,0.05336636305194307,1.466862754219067e-162
22,va-2,0.049499589118771774,4.1189767084838205e-140
22,va-3,0.06096462591954483,1.3208488239078559e-211
22,LOC,0.284738086298432,0.0
23,va-1,0.05425784395918532,5.634754163025329e-168
23,va-2,0.0500744104065139,2.4250544832084363e-143
23,va-3,0.061589166777248974,6.283845027525395e-216
23,LOC,0.2820135426593716,0.0
24,va-1,0.05448604778305589,2.2393760134394656e-169
24,va-2,0.05004576485825606,3.5202440158710865e-143
24,va-3,0.06167515175503017,1.583540320208649e-216
24,LOC,0.2886715259715097,0.0
25,va-1,0.053919198356295515,6.586573779212928e-166
25,va-2,0.049768770437280646,1.2789166657366327e-141
25,va-3,0.061055632126289415,3.1169512874760533e-212
25,LOC,0.28707098853620033,0.0
26,va-1,0.05691441707956807,1.1994324912086695e-184
26,va-2,0.052115360574980035,4.113144732754896e-155
26,va-3,0.06339227301632405,1.1742693632590513e-228
26,LOC,0.282372197854468,0.0
27,va-1,0.05426053256227627,5.425081636973838e-168
27,va-2,0.05123477688752342,5.629466388114686e-150
27,va-3,0.0618137855291506,1.7090009663802655e-217
27,LOC,0.28920858416607165,0.0
28,va-1,0.0560114242065884,6.848997574955389e-179
28,va-2,0.05215776858748819,2.315264652745859e-155
28,va-3,0.06360294268484462,3.6183086555968044e-230
28,LOC,0.2910278361455613,0.0
29,va-1,0.05568796967742879,7.502276065642609e-177
29,va-2,0.05170622627208451,1.0268265987436639e-152
29,va-3,0.06295767547434183,1.4841011262310836e-225
29,LOC,0.2871575732111937,0.0
30,va-1,0.055603977723930394,2.5285482412062492e-176
30,va-2,0.0517262215906965,7.848284971664444e-153
30,va-3,0.062063987515492275,3.0353502415967814e-219
30,LOC,0.28624067037594303,0.0
31,va-1,0.057813296805655265,1.806049715099673e-190
31,va-2,0.05289820368801668,9.425365917064261e-160
31,va-3,0.06425468514676248,7.099201019180392e-235
31,LOC,0.28866209583455615,0.0
32,va-1,0.057980840970822345,1.4500306981417623e-191
32,va-2,0.05374102070970568,7.969030252312083e-165
32,va-3,0.06509097362169215,5.498602129066863e-241
32,LOC,0.29326987461702503,0.0
33,va-1,0.056669164264380706,4.4835828880701515e-183
33,va-2,0.05247494114645484,3.101485254128699e-157
33,va-3,0.06398879537327731,5.990536994454778e-233
33,LOC,0.2951761441411131,0.0
34,va-1,0.05766048878766475,1.790464757025998e-189
34,va-2,0.0533068761335514,3.34621701691347e-162
34,va-3,0.0647220818526926,2.7902046606015244e-238
34,LOC,0.29236399843125,0.0
35,va-1,0.05867248960848582,4.035395606948684e-196
35,va-2,0.054130587455714765,3.3840126983966802e-167
35,va-3,0.06564198604148024,4.681664586554008e-245
35,LOC,0.29241296367234465,0.0
36,va-1,0.058615529116369504,9.618396318626658e-196
36,va-2,0.05394750090852052,4.4293535378947765e-166
36,va-3,0.06441800093513336,4.613941379010674e-236
36,LOC,0.2858213094377462,0.0
37,va-1,0.058869775058484286,1.9793961310344013e-197
37,va-2,0.053745861371609645,7.447960414361545e-165
37,va-3,0.0643035858453906,3.1337902251597624e-235
37,LOC,0.28420980716581473,0.0
38,va-1,0.060209110435817136,1.9534157074389308e-206
38,va-2,0.0546749812101318,1.5344857578836577e-170
38,va-3,0.06551769929699387,3.903154737024088e-244
38,LOC,0.29158180645463344,0.0
39,va-1,0.06013203491351977,6.524908711146856e-206
39,va-2,0.05474793880696223,5.436667630621502e-171
39,va-3,0.06545566020229525,1.1232933893370447e-243
39,LOC,0.29260941385443523,0.0
40,va-1,0.059307453497051944,2.3766270053670272e-200
40,va-2,0.05443088596118619,4.889436677146444e-169
40,va-3,0.06515880738920676,1.742156698735202e-241
40,LOC,0.2917593130096228,0.0
41,va-1,0.06037793544152946,1.3840740567661518e-207
41,va-2,0.0547992308161136,2.6191565025392907e-171
41,va-3,0.06548618179327512,6.678731560161682e-244
41,LOC,0.28838663775923395,0.0
42,va-1,0.06051948725361771,1.4953757194815452e-208
42,va-2,0.054998365467749166,1.5274240744663812e-172
42,va-3,0.06617385611122609,5.118842495037068e-249
42,LOC,0.2934598772651225,0.0
43,va-1,0.0592739628750669,3.9829756616482167e-200
43,va-2,0.054233563129136936,7.9353669682587305e-168
43,va-3,0.06533099472305634,9.368497058530562e-243
43,LOC,0.29438928709881873,0.0
44,va-1,0.061624352233949825,3.575843849785676e-216
44,va-2,0.05585054957509895,7.104209718221321e-178
44,va-3,0.0668987934333982,1.8121130740614997e-254
44,LOC,0.28926845426324943,0.0
45,va-1,0.060050748134697324,2.324030684351516e-205
45,va-2,0.05482381543248731,1.8451571652568716e-171
45,va-3,0.0653998547125864,2.904484527462162e-243
45,LOC,0.294833438712191,0.0
46,va-1,0.06006257190282678,1.932165551059546e-205
46,va-2,0.054674370011511104,1.5478734321484049e-170
46,va-3,0.06551466906446679,4.110068702065808e-244
46,LOC,0.2918653047660525,0.0
