roi,epoch,training_run,rho,p_value
FFC,1,1,0.11816910705758531,0.0
FFC,2,1,0.08273875600762347,0.0
FFC,3,1,0.06438527411371434,0.0
FFC,4,1,0.053082630704639325,1.8541544007497973e-308
FFC,5,1,0.047747990638891506,6.39348116726655e-250
FFC,6,1,0.046907152220721914,2.9206855357246398e-241
FFC,7,1,0.049657926179045665,3.6482653215335632e-270
FFC,8,1,0.050314279496219985,2.6389579159047764e-277
FFC,9,1,0.05220294085370978,2.2343838019075027e-298
FFC,10,1,0.05962143605686623,0.0
FFC,11,1,0.06741177816209075,0.0
FFC,12,1,0.07785809930950369,0.0
FFC,13,1,0.09173212775821671,0.0
FFC,14,1,0.09776562335817698,0.0
FFC,15,1,0.10347272904709263,0.0
FFC,16,1,0.10500446719578369,0.0
FFC,17,1,0.10772595042027265,0.0
FFC,18,1,0.11189729314624228,0.0
FFC,19,1,0.11371226962405148,0.0
FFC,20,1,0.11543477848886637,0.0
FFC,21,1,0.11784048634968251,0.0
FFC,22,1,0.11984882147654165,0.0
FFC,23,1,0.12191008720681525,0.0
FFC,24,1,0.12122502524208861,0.0
FFC,25,1,0.12538501115278902,0.0
FFC,26,1,0.12728496365267056,0.0
FFC,27,1,0.12412234403876884,0.0
FFC,28,1,0.12740846120918706,0.0
FFC,29,1,0.1297090789288751,0.0
FFC,30,1,0.12942067257444387,0.0
FFC,31,1,0.12683642096745099,0.0
FFC,32,1,0.12670957220406326,0.0
FFC,33,1,0.12743939750120822,0.0
FFC,34,1,0.12964653533514847,0.0
FFC,35,1,0.12994763200103626,0.0
FFC,36,1,0.13035579940196096,0.0
FFC,37,1,0.13328264723498945,0.0
FFC,38,1,0.13286676876112824,0.0
FFC,39,1,0.13166348971869807,0.0
FFC,40,1,0.13151706685852774,0.0
FFC,41,1,0.13243842227583205,0.0
FFC,42,1,0.1313398546768587,0.0
FFC,43,1,0.1334165608795944,0.0
FFC,44,1,0.13731292890313448,0.0
FFC,45,1,0.1306227080996365,0.0
FFC,46,1,0.13170933371252447,0.0
FFC,47,1,0.1324692373880307,0.0
FFC,48,1,0.13414944561794073,0.0
FFC,49,1,0.1302518842643554,0.0
FFC,50,1,0.13412728304459956,0.0
FFC,51,1,0.13210503343418967,0.0
FFC,52,1,0.13379891994213516,0.0
FFC,53,1,0.13022942092518625,0.0
FFC,54,1,0.13257003648733795,0.0
FFC,55,1,0.13519094560134556,0.0
FFC,56,1,0.1315275149777915,0.0
FFC,57,1,0.1332547799100786,0.0
FFC,58,1,0.13203350513529408,0.0
FFC,59,1,0.13363972715163167,0.0
FFC,60,1,0.1336008501913651,0.0
FFC,61,1,0.1306585544868535,0.0
FFC,62,1,0.13302030733065182,0.0
FFC,63,1,0.13268715467218664,0.0
FFC,64,1,0.1292607472639558,0.0
FFC,65,1,0.1331900960715977,0.0
FFC,66,1,0.1331607896387947,0.0
FFC,67,1,0.13015677570144196,0.0
FFC,68,1,0.13030602781980727,0.0
FFC,69,1,0.13267989784913622,0.0
FFC,70,1,0.13529882557910966,0.0
FFC,71,1,0.1311444184249,0.0
FFC,72,1,0.13247021818267105,0.0
FFC,73,1,0.13198084996962645,0.0
FFC,74,1,0.13111534251812718,0.0
FFC,75,1,0.1319594886198172,0.0
FFC,76,1,0.1317497320346896,0.0
FFC,77,1,0.1314671637449557,0.0
FFC,78,1,0.13107708670157844,0.0
FFC,79,1,0.13430632578074292,0.0
FFC,80,1,0.13332640413436192,0.0
FFC,81,1,0.13258036620825656,0.0
FFC,82,1,0.13502272769706405,0.0
FFC,83,1,0.13225596665859043,0.0
FFC,84,1,0.1313422813143836,0.0
FFC,85,1,0.13206584527826917,0.0
FFC,86,1,0.1292684050613217,0.0
FFC,87,1,0.13236239096654562,0.0
FFC,88,1,0.1295210721390421,0.0
FFC,89,1,0.1292623691252838,0.0
FFC,90,1,0.1305940151206789,0.0
FFC,91,1,0.13075361045856992,0.0
FFC,92,1,0.13247520761095657,0.0
FFC,2,2,0.09106423945753422,0.0
FFC,3,2,0.0809770863454221,0.0
FFC,4,2,0.059653255464810734,0.0
FFC,5,2,0.05033426290496213,1.5942316026110896e-277
FFC,6,2,0.04934342421260313,8.918747809955596e-267
FFC,7,2,0.05494678400858721,0.0
FFC,8,2,0.05968875218583608,0.0
FFC,9,2,0.06719648352081597,0.0
FFC,10,2,0.07751061517405404,0.0
FFC,11,2,0.08675633771714968,0.0
FFC,12,2,0.09677417825925547,0.0
FFC,13,2,0.10567583666139152,0.0
FFC,14,2,0.11121049650176015,0.0
FFC,15,2,0.11587994526134474,0.0
FFC,16,2,0.11793217059077178,0.0
FFC,17,2,0.11918303473256023,0.0
FFC,18,2,0.12091942776195734,0.0
FFC,19,2,0.12077379450460962,0.0
FFC,20,2,0.1217515591832291,0.0
FFC,21,2,0.12331069828583895,0.0
FFC,22,2,0.12378911111741944,0.0
FFC,23,2,0.12659594743428818,0.0
FFC,24,2,0.12599032338550586,0.0
FFC,25,2,0.1279389310517916,0.0
FFC,26,2,0.1300601502250467,0.0
FFC,27,2,0.12618044385930674,0.0
FFC,28,2,0.12898012199055445,0.0
FFC,29,2,0.13225687413903434,0.0
FFC,30,2,0.1320442674283016,0.0
FFC,31,2,0.1297811466873156,0.0
FFC,32,2,0.12929295081675743,0.0
FFC,33,2,0.13088246156452446,0.0
FFC,34,2,0.13410281682128491,0.0
FFC,35,2,0.13274246802179726,0.0
FFC,36,2,0.132265771221805,0.0
FFC,37,2,0.13584379737530236,0.0
FFC,38,2,0.13652902874437675,0.0
FFC,39,2,0.13605887109457632,0.0
FFC,40,2,0.13445810789467744,0.0
FFC,41,2,0.13633636708304275,0.0
FFC,42,2,0.13530673970263524,0.0
FFC,43,2,0.13683464381033553,0.0
FFC,44,2,0.1395206326435564,0.0
FFC,45,2,0.13411390641933152,0.0
FFC,46,2,0.13519743875742377,0.0
FFC,47,2,0.1355922661975552,0.0
FFC,48,2,0.13692029714935194,0.0
FFC,49,2,0.13472891756569952,0.0
FFC,50,2,0.13668891306470554,0.0
FFC,51,2,0.13564984270612934,0.0
FFC,52,2,0.13881841762840355,0.0
FFC,53,2,0.13386297776261127,0.0
FFC,54,2,0.1374325087667748,0.0
FFC,55,2,0.13824111754916685,0.0
FFC,56,2,0.13387380680484065,0.0
FFC,57,2,0.1373070093859065,0.0
FFC,58,2,0.13539891516883623,0.0
FFC,59,2,0.1377366590104388,0.0
FFC,60,2,0.13780270332261219,0.0
FFC,61,2,0.13630835851073753,0.0
FFC,62,2,0.1370663076989459,0.0
FFC,63,2,0.1367769971631331,0.0
FFC,64,2,0.1335506313814586,0.0
FFC,65,2,0.1364687249271706,0.0
FFC,66,2,0.13801569625390528,0.0
FFC,67,2,0.13509820495547778,0.0
FFC,68,2,0.13518041830211855,0.0
FFC,69,2,0.13701650567089615,0.0
FFC,70,2,0.13996753272031479,0.0
FFC,71,2,0.13616643081257482,0.0
FFC,72,2,0.13641094011882043,0.0
FFC,73,2,0.13797323003733822,0.0
FFC,74,2,0.13687337292131468,0.0
FFC,75,2,0.1371764380582927,0.0
FFC,76,2,0.13727485777854942,0.0
FFC,77,2,0.13829930805451546,0.0
FFC,78,2,0.1369847352701728,0.0
FFC,79,2,0.1396001021347104,0.0
FFC,80,2,0.13766876499265202,0.0
FFC,81,2,0.13770967615197466,0.0
FFC,82,2,0.13977299516730707,0.0
FFC,83,2,0.13811338009544027,0.0
FFC,84,2,0.13670568481730938,0.0
FFC,85,2,0.13666767875441563,0.0
FFC,86,2,0.135754915144133,0.0
FFC,87,2,0.13704293945925053,0.0
FFC,88,2,0.13577557848850755,0.0
FFC,89,2,0.13676752027284628,0.0
FFC,90,2,0.13644436298960594,0.0
FFC,91,2,0.13700177949020176,0.0
FFC,92,2,0.13928562504538966,0.0
FFC,3,3,0.08782534781156921,0.0
FFC,4,3,0.06650233961953382,0.0
FFC,5,3,0.05333137358084101,0.0
FFC,6,3,0.04902802364326025,2.120864901989097e-263
FFC,7,3,0.05319754101960134,8.6858517063635e-310
FFC,8,3,0.05749107582803122,0.0
FFC,9,3,0.06461904409233891,0.0
FFC,10,3,0.07503793082995083,0.0
FFC,11,3,0.08395169770095155,0.0
FFC,12,3,0.0944572724486514,0.0
FFC,13,3,0.10362625994474654,0.0
FFC,14,3,0.1095162342926082,0.0
FFC,15,3,0.11481470746843754,0.0
FFC,16,3,0.11709345833794511,0.0
FFC,17,3,0.1182465410181138,0.0
FFC,18,3,0.12007592699627342,0.0
FFC,19,3,0.12044943840764552,0.0
FFC,20,3,0.12146437385597239,0.0
FFC,21,3,0.12272460932184777,0.0
FFC,22,3,0.12338255145923804,0.0
FFC,23,3,0.12607144936865386,0.0
FFC,24,3,0.12542414662974802,0.0
FFC,25,3,0.12744324703165025,0.0
FFC,26,3,0.1294407746940847,0.0
FFC,27,3,0.1258264309682394,0.0
FFC,28,3,0.1286431045788184,0.0
FFC,29,3,0.13184590417868486,0.0
FFC,30,3,0.13176649285364234,0.0
FFC,31,3,0.1294774755687132,0.0
FFC,32,3,0.1290317788987848,0.0
FFC,33,3,0.13073862558669108,0.0
FFC,34,3,0.13385191649148698,0.0
FFC,35,3,0.13259649127636258,0.0
FFC,36,3,0.1320650707090853,0.0
FFC,37,3,0.13569891728164077,0.0
FFC,38,3,0.13636221300011192,0.0
FFC,39,3,0.13579924187801368,0.0
FFC,40,3,0.13420038888538618,0.0
FFC,41,3,0.13616361416099818,0.0
FFC,42,3,0.13533477895278398,0.0
FFC,43,3,0.13680667908522254,0.0
FFC,44,3,0.1394907637429306,0.0
FFC,45,3,0.1341093670847745,0.0
FFC,46,3,0.13500881565591075,0.0
FFC,47,3,0.135618194553711,0.0
FFC,48,3,0.13697320439330427,0.0
FFC,49,3,0.13466866503401737,0.0
FFC,50,3,0.1366360616326684,0.0
FFC,51,3,0.13559876269244117,0.0
FFC,52,3,0.13888775594484534,0.0
FFC,53,3,0.13393629561026685,0.0
FFC,54,3,0.13747327727693062,0.0
FFC,55,3,0.13834973385701993,0.0
FFC,56,3,0.13396215991397273,0.0
FFC,57,3,0.13732490480093873,0.0
FFC,58,3,0.13549943453263139,0.0
FFC,59,3,0.13781838351558562,0.0
FFC,60,3,0.13776662775733406,0.0
FFC,61,3,0.13627949934310143,0.0
FFC,62,3,0.13714731362705768,0.0
FFC,63,3,0.13682776550181658,0.0
FFC,64,3,0.13366110540213902,0.0
FFC,65,3,0.13653097960795854,0.0
FFC,66,3,0.13816788572417216,0.0
FFC,67,3,0.13517608431126613,0.0
FFC,68,3,0.1353291797009332,0.0
FFC,69,3,0.13715992635456908,0.0
FFC,70,3,0.1400928613339274,0.0
FFC,71,3,0.1361344767363242,0.0
FFC,72,3,0.13655728224911115,0.0
FFC,73,3,0.13812965764085244,0.0
FFC,74,3,0.13695915428110828,0.0
FFC,75,3,0.13721300676085005,0.0
FFC,76,3,0.13729948186744928,0.0
FFC,77,3,0.13841164800556635,0.0
FFC,78,3,0.13709696387692843,0.0
FFC,79,3,0.139690065601935,0.0
FFC,80,3,0.13768649809012495,0.0
FFC,81,3,0.13773343068923785,0.0
FFC,82,3,0.13984961450473282,0.0
FFC,83,3,0.13821300758311747,0.0
FFC,84,3,0.1368165953962986,0.0
FFC,85,3,0.13673565778728747,0.0
FFC,86,3,0.13579547061164482,0.0
FFC,87,3,0.13703331418430365,0.0
FFC,88,3,0.13589515623404433,0.0
FFC,89,3,0.1367948037608259,0.0
FFC,90,3,0.13654700435290187,0.0
FFC,91,3,0.13704173636099046,0.0
FFC,92,3,0.13930207699444877,0.0
FFC,4,4,0.08051617070971462,0.0
FFC,5,4,0.06657334174858463,0.0
FFC,6,4,0.053887602710618134,0.0
FFC,7,4,0.05386231886926036,0.0
FFC,8,4,0.056549864385250254,0.0
FFC,9,4,0.06265440918083397,0.0
FFC,10,4,0.07252914440663207,0.0
FFC,11,4,0.08054622746025182,0.0
FFC,12,4,0.09119661496900301,0.0
FFC,13,4,0.10151425242399724,0.0
FFC,14,4,0.10798635668019478,0.0
FFC,15,4,0.11396455346309493,0.0
FFC,16,4,0.11643451284731818,0.0
