training_run,epoch,roi,rho,p_value
1,1,va-1,0.03224312811415601,1.6680039624849051e-60
1,1,va-2,0.03675017268216444,4.647879670162912e-78
1,1,va-3,0.07109262871298146,3.5396351678912206e-287
1,1,LOC,0.04081313872647034,7.631505228527138e-96
2,2,va-1,-0.014010172306743921,1.01707994986766e-12
2,2,va-2,0.0029078786854192613,0.13902872142273773
2,2,va-3,0.04047072858491739,2.839150163940565e-94
2,2,LOC,0.0224357092216543,3.485003241170243e-30
3,3,va-1,1.9468211410202394e-05,0.9920973524614276
3,3,va-2,0.015608318549422436,1.9993837532054683e-15
3,3,va-3,0.0539416898298744,4.805386450480935e-166
3,3,LOC,0.06105482270557355,3.157271087356894e-212
4,4,va-1,0.011871109987983621,1.543363485033049e-09
4,4,va-2,0.021092856082296305,7.170048521813636e-27
4,4,va-3,0.06161271135670938,4.3092342888124944e-216
4,4,LOC,0.08164020529649085,0.0
5,5,va-1,0.016207654988275873,1.6329184314280925e-16
5,5,va-2,0.022416997461477146,3.888266881734619e-30
5,5,va-3,0.0622171967824324,2.551363123463351e-220
5,5,LOC,0.08427523177191908,0.0
6,6,va-1,0.0218187011943476,1.229147476924662e-28
6,6,va-2,0.02965430531930056,1.8768711163979513e-51
6,6,va-3,0.06312220831086975,9.993738631269795e-227
6,6,LOC,0.10607090650189813,0.0
7,7,va-1,0.018053887156633013,4.0826046158122395e-20
7,7,va-2,0.026188769015321446,1.6320244745792383e-40
7,7,va-3,0.05968719451762944,6.673988729362585e-203
7,7,LOC,0.11378724217135104,0.0
8,8,va-1,0.020058951875706194,1.8594199018824585e-24
8,8,va-2,0.031209004735391937,8.473243106499647e-57
8,8,va-3,0.06027164225667044,7.334213982394303e-207
8,8,LOC,0.10729031429599138,0.0
9,9,va-1,0.021139380071164712,5.5475054127414835e-27
9,9,va-2,0.026546625528985946,1.3978351827128668e-41
9,9,va-3,0.06041102649720181,8.230804752067688e-208
9,9,LOC,0.12801738863690576,0.0
10,10,va-1,0.02354277249760479,4.561658166996089e-33
10,10,va-2,0.03155778130808173,4.915975249846539e-58
10,10,va-3,0.05999510600096928,5.539044008768227e-205
10,10,LOC,0.1289538776909816,0.0
11,11,va-1,0.022885835201661375,2.4349384375973127e-31
11,11,va-2,0.029692163436285647,1.4011781258888835e-51
11,11,va-3,0.05900528122522509,2.4810795043874293e-198
11,11,LOC,0.1304204035576082,0.0
12,12,va-1,0.02641302097368156,3.5123391454714374e-41
12,12,va-2,0.03253173855668416,1.4672290909493968e-61
12,12,va-3,0.05852985184659421,3.546505793114518e-195
12,12,LOC,0.16634020999788773,0.0
13,13,va-1,0.03448323216815602,6.06072298088195e-69
13,13,va-2,0.042653277231080935,1.6436649713479492e-104
13,13,va-3,0.06488188292412388,1.886187451408002e-239
13,13,LOC,0.17471402757943508,0.0
14,14,va-1,0.047746577454851835,1.7169097809029964e-130
14,14,va-2,0.06068558933056539,1.0910122937743753e-209
14,14,va-3,0.07476702208750872,0.0
14,14,LOC,0.2621676552009783,0.0
15,15,va-1,0.05766414239465187,1.6950280429868301e-189
15,15,va-2,0.06806910658312663,2.1480849025478596e-263
15,15,va-3,0.08003389733699424,0.0
15,15,LOC,0.26109908337380305,0.0
16,16,va-1,0.061806426673476474,1.923626486469462e-217
16,16,va-2,0.06735092755277175,6.732628052710013e-258
16,16,va-3,0.08853027440232711,0.0
16,16,LOC,0.2469027418849521,0.0
17,17,va-1,0.062044179984026095,4.178794830542353e-219
17,17,va-2,0.06797933062301462,1.0527076956757995e-262
17,17,va-3,0.0869275770763583,0.0
17,17,LOC,0.2539840575380639,0.0
18,18,va-1,0.06455262609243348,4.82175760059661e-237
18,18,va-2,0.07051651694834495,1.4488538744004489e-282
