,concept,session,run,subject_id,trial_id,stimulus
0,acorn,1,9,1,676,acorn_12s.jpg
1,airbag,1,2,1,139,airbag_12s.jpg
2,aircraft_carrier,1,6,1,452,aircraft_carrier_12s.jpg
3,airplane,1,2,1,130,airplane_12n.jpg
4,alligator,1,6,1,479,alligator_12s.jpg
5,aloe,1,8,1,607,aloe_12n.jpg
6,altar,1,1,1,12,altar_12s.jpg
7,aluminum_foil,1,6,1,439,aluminum_foil_12s.jpg
8,anchor,1,10,1,739,anchor_12s.jpg
9,anklet,1,2,1,117,anklet_12s.jpg
10,ant,1,6,1,416,ant_12s.jpg
11,anteater,1,6,1,420,anteater_12s.jpg
12,antelope,1,8,1,649,antelope_12n.jpg
13,antenna,1,4,1,265,antenna_12s.jpg
14,anvil,1,9,1,698,anvil_12n.jpg
15,apple,1,4,1,315,apple_12s.jpg
16,applesauce,1,10,1,788,applesauce_12s.jpg
17,artichoke,1,2,1,114,artichoke_12s.jpg
18,ashtray,1,2,1,162,ashtray_12s.jpg
19,asparagus,1,1,1,32,asparagus_12s.jpg
20,avocado,1,7,1,508,avocado_12s.jpg
21,axe,1,8,1,578,axe_12n.jpg
22,baby,1,8,1,586,baby_12s.jpg
23,backpack,1,2,1,89,backpack_12s.jpg
24,bag,1,2,1,92,bag_12s.jpg
25,bagel,1,7,1,526,bagel_12s.jpg
26,ball,1,5,1,356,ball_12s.jpg
27,balloon,1,7,1,542,balloon_12s.jpg
28,bamboo,1,4,1,266,bamboo_12s.jpg
29,banana,1,1,1,40,banana_12s.jpg
30,banana_split,1,8,1,612,banana_split_12s.jpg
31,bandage,1,3,1,211,bandage_12s.jpg
32,banner,1,9,1,720,banner_12s.jpg
33,barnacle,1,5,1,351,barnacle_12n.jpg
34,barrel,1,6,1,442,barrel_12s.jpg
35,basket,1,8,1,603,basket_12s.jpg
36,bassinet,1,8,1,639,bassinet_12s.jpg
37,battery,1,9,1,728,battery_12s.jpg
38,beachball,1,8,1,601,beachball_12s.jpg
39,beaker,1,1,1,13,beaker_12s.jpg
40,bean,1,9,1,673,bean_12s.jpg
41,bear,1,8,1,588,bear_12s.jpg
42,beaver,1,3,1,234,beaver_12s.jpg
43,bed,1,3,1,173,bed_12s.jpg
44,bee,1,9,1,686,bee_12s.jpg
45,beer,1,3,1,221,beer_12s.jpg
46,beet,1,5,1,337,beet_12s.jpg
47,beetle,1,10,1,761,beetle_12s.jpg
48,bell,1,6,1,418,bell_12s.jpg
49,bench,1,6,1,482,bench_12s.jpg
50,bib,1,1,1,11,bib_12s.jpg
51,bike,1,9,1,705,bike_12n.jpg
52,binoculars,1,9,1,682,binoculars_12s.jpg
53,bird,1,9,1,710,bird_12s.jpg
54,birdcage,1,5,1,394,birdcage_12s.jpg
55,birdhouse,1,2,1,93,birdhouse_12s.jpg
56,bison,1,3,1,210,bison_12s.jpg
57,blackberry,1,1,1,59,blackberry_12s.jpg
58,blanket,1,8,1,580,blanket_12s.jpg
59,blazer,1,7,1,500,blazer_12s.jpg
60,blender,1,1,1,55,blender_12s.jpg
61,blimp,1,4,1,252,blimp_12s.jpg
62,blind,1,1,1,69,blind_12s.jpg
63,blowtorch,1,6,1,431,blowtorch_12n.jpg
64,blueberry,1,8,1,642,blueberry_12n.jpg
65,boa,1,10,1,786,boa_12s.jpg
66,boar,1,4,1,304,boar_12s.jpg
67,boat,1,8,1,651,boat_12s.jpg
68,bobsled,1,7,1,571,bobsled_12s.jpg
69,bolt,1,2,1,85,bolt_12s.jpg
70,book,1,2,1,125,book_12s.jpg
71,boot,1,2,1,84,boot_12s.jpg
72,bottle,1,7,1,545,bottle_12s.jpg
73,bow2,1,8,1,625,bow2_12s.jpg
74,bowl,1,4,1,307,bowl_12s.jpg
75,boxer_shorts,1,7,1,516,boxer_shorts_12s.jpg
76,boxing_gloves,1,3,1,195,boxing_gloves_12s.jpg
77,boy,1,7,1,498,boy_12s.jpg
78,brace,1,10,1,819,brace_12s.jpg
79,bracelet2,1,10,1,758,bracelet2_12s.jpg
80,bracket,1,2,1,142,bracket_12s.jpg
81,bread,1,6,1,456,bread_12s.jpg
82,breadbox,1,1,1,45,breadbox_12s.jpg
83,breadstick,1,4,1,286,breadstick_12s.jpg
84,broccoli,1,4,1,311,broccoli_12s.jpg
85,broom,1,8,1,598,broom_12s.jpg
86,brownie,1,1,1,73,brownie_12s.jpg
87,brush,1,1,1,33,brush_12s.jpg
88,bubble,1,5,1,389,bubble_12s.jpg
89,bucket,1,4,1,271,bucket_12s.jpg
90,buggy,1,7,1,573,buggy_12s.jpg
91,bulldozer,1,6,1,438,bulldozer_12s.jpg
92,bullet,1,4,1,257,bullet_12n.jpg
93,bumper,1,10,1,747,bumper_12s.jpg
94,bungee,1,6,1,428,bungee_12s.jpg
95,bunkbed,1,9,1,668,bunkbed_12s.jpg
96,burner,1,9,1,693,burner_12n.jpg
97,burrito,1,4,1,279,burrito_12s.jpg
98,bus,1,2,1,141,bus_12n.jpg
99,butterfly,1,8,1,611,butterfly_12n.jpg
100,cabbage,1,5,1,374,cabbage_12s.jpg
101,cactus,1,3,1,182,cactus_12s.jpg
102,cage,1,2,1,87,cage_12s.jpg
103,cake,1,10,1,802,cake_12s.jpg
104,calculator,1,9,1,659,calculator_12s.jpg
105,camcorder,1,4,1,310,camcorder_12s.jpg
106,camel,1,6,1,477,camel_12s.jpg
107,camera1,1,9,1,718,camera1_12s.jpg
108,camera2,1,9,1,723,camera2_12s.jpg
109,candelabra,1,3,1,197,candelabra_12s.jpg
